Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Burkhart,Peter Johnston,Brent Rathgeber,Sam Sleiman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 125B","Edmonton",24,10,74,33,0,141,393
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 125-1","Edmonton",28,12,135,48,0,223,504
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 126","Edmonton",26,5,30,23,0,84,407
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 127","Edmonton",20,14,120,40,1,195,423
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 128","Edmonton",27,21,107,36,1,192,499
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 129","Edmonton",28,14,153,33,1,229,558
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 130","Edmonton",45,13,112,24,0,194,561
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 131","Edmonton",41,13,160,36,0,250,518
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 132","Edmonton",22,9,78,41,0,150,391
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 133","Edmonton",20,7,48,12,1,88,274
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 134","Edmonton",21,15,103,39,0,178,377
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 135A","Edmonton",25,6,77,22,0,130,437
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 135B","Edmonton",28,15,93,26,0,162,426
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 136","Edmonton",24,14,109,32,1,180,350
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 137","Edmonton",37,14,97,38,3,189,484
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 138","Edmonton",31,15,111,47,0,204,510
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 138-1","Edmonton",23,5,63,23,0,114,333
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 139","Edmonton",16,10,58,27,0,111,301
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 139-1","Edmonton",30,9,91,31,1,162,498
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 139-2A","Edmonton",22,12,99,37,0,170,458
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 139-2B","Edmonton",28,10,99,25,0,162,449
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 140","Edmonton",25,14,114,22,0,175,433
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 140-1","Edmonton",56,19,151,38,0,264,635
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 141","Edmonton",20,7,64,17,0,108,317
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 141-1","Edmonton",27,9,175,44,0,255,680
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 141-2","Edmonton",32,7,87,35,0,161,335
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 142","Edmonton",40,7,188,35,0,270,622
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 143","Edmonton",19,6,134,48,0,207,411
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 144","Edmonton",13,10,105,29,0,157,313
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 145","Edmonton",11,6,108,16,0,141,284
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 145-1","Edmonton",38,5,103,20,0,166,427
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 146","Edmonton",31,16,106,19,0,172,380
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 147","Edmonton",32,11,99,30,0,172,420
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 148","Edmonton",48,19,136,31,0,234,474
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 149","Edmonton",55,21,158,62,1,297,572
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 150","Edmonton",35,12,89,21,1,158,365
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 151","Edmonton",48,25,114,33,2,222,460
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 152","Edmonton",38,4,108,52,1,203,491
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 153","Edmonton",32,9,89,21,0,151,355
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 154","Edmonton",31,13,86,67,1,198,482
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 155","Edmonton",Void/Supprimé,,,,,,
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 156","Edmonton",36,14,100,33,1,184,371
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 157","Edmonton",16,10,34,13,0,73,222
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 158","Edmonton",31,17,74,26,2,150,406
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 159","Edmonton",33,21,122,65,2,243,578
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 160","Edmonton",48,14,88,47,0,197,463
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 161","Edmonton",44,13,98,60,0,215,487
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 162","Edmonton",31,12,151,62,1,257,524
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 163","Edmonton",34,14,141,53,0,242,423
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 164","Edmonton",12,6,121,25,0,164,313
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 165","Edmonton",26,15,150,69,0,260,445
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 166","Edmonton",29,6,52,34,0,121,386
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 167","Edmonton",36,14,116,53,1,220,579
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 168","Edmonton",9,13,69,42,0,133,344
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 169","Edmonton",24,8,99,61,0,192,364
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 170","Edmonton",24,8,53,25,0,110,485
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 171","Edmonton",20,21,86,31,0,158,426
