Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Canada,Yvon Lévesque,Erica Martin,Jean-Maurice Matte,Patrick Rancourt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 55","Chapais",12,75,13,39,1,0,140,308
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 56","Chapais",10,63,11,21,1,1,107,238
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 57","Chapais",7,46,4,24,1,0,82,222
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 58","Chapais",6,66,10,37,3,2,124,280
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 59","Chapais",10,65,12,12,1,2,102,230
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 60","Desmaraisville",2,7,0,0,0,1,10,15
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 61A","Waswanipi",49,3,9,25,4,1,91,390
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 61B","Waswanipi",32,4,6,33,2,1,78,361
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 61-1","Waswanipi",17,6,3,20,4,0,50,123
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 62","Miquelon",Void/Supprimé,,,,,,,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 63","Lebel-sur-Quévillon",23,107,35,46,3,3,217,433
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 64","Lebel-sur-Quévillon",12,68,15,34,8,1,138,310
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 65","Lebel-sur-Quévillon",21,71,10,18,4,4,128,258
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 66","Lebel-sur-Quévillon",15,95,22,33,2,5,172,325
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 67","Lebel-sur-Quévillon",11,79,11,23,1,1,126,245
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 68","Lebel-sur-Quévillon",9,88,6,14,5,6,128,286
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 69","Senneterre",16,50,7,128,0,8,209,474
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 70","Belcourt",7,46,1,42,2,1,99,187
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 71","Senneterre",19,77,9,110,2,3,220,442
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 72","Senneterre",7,33,4,87,2,1,134,269
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 73","Senneterre",21,42,11,142,3,0,219,465
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 74","Senneterre",8,48,5,101,6,2,170,351
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 75","Senneterre",8,74,13,110,4,3,212,514
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 76","Senneterre",9,28,5,92,1,2,137,281
