Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maxime Bernier,André Côté,Véronique Poulin,Nicolas Rochette,René Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24005,"Beauce/Beauce"," 602","Sainte-Marie",156,38,11,10,28,3,246,
24005,"Beauce/Beauce"," 603","Sainte-Marie",200,50,19,6,33,4,312,
24005,"Beauce/Beauce"," 604","Sainte-Marie",109,17,3,8,8,1,146,
24005,"Beauce/Beauce"," 605","Frampton--Saint-Odilon-de-Cranbourne",47,11,10,7,5,0,80,
24005,"Beauce/Beauce"," 606","Saints-Anges--Vallée-Jonction",97,16,5,5,13,2,138,
24005,"Beauce/Beauce"," 607","Saint-Fédéric--Tring-Jonction",63,25,6,5,11,0,110,
24005,"Beauce/Beauce"," 608","Saint-Joseph-de-Beauce",238,49,21,19,37,4,368,
24005,"Beauce/Beauce"," 609","Beauceville",175,39,13,5,46,4,282,
24005,"Beauce/Beauce"," 610","Beauceville--Saint-Alfred",123,29,10,9,19,3,193,
24005,"Beauce/Beauce"," 611","Saint-Victor",42,12,7,1,8,2,72,
24005,"Beauce/Beauce"," 612","Saint-Prosper--Sainte-Aurélie",217,37,17,14,35,3,323,
24005,"Beauce/Beauce"," 613","Saint-Benoît-Labre--Saint-Éphrem-de-Beauce",88,14,11,10,12,1,136,
24005,"Beauce/Beauce"," 614","Saint-Georges",180,40,20,8,25,4,277,
24005,"Beauce/Beauce"," 615","Saint-Georges",174,45,22,6,29,10,286,
24005,"Beauce/Beauce"," 616","Saint-Georges",73,25,7,9,9,1,124,
24005,"Beauce/Beauce"," 617","Saint-Georges",133,43,19,21,18,3,237,
24005,"Beauce/Beauce"," 618","Saint-Georges",236,53,31,14,65,6,405,
24005,"Beauce/Beauce"," 619","Saint-Georges",170,34,11,14,22,1,252,
24005,"Beauce/Beauce"," 620","Saint-Georges",146,42,10,9,25,3,235,
24005,"Beauce/Beauce"," 621","Saint-Georges",126,29,18,12,8,4,197,
24005,"Beauce/Beauce"," 622","Saint-Côme-Linière--Saint-Zacharie",129,30,10,2,24,3,198,
24005,"Beauce/Beauce"," 623","La Guadeloupe",101,19,5,3,22,1,151,
24005,"Beauce/Beauce"," 624","Saint-Honoré-de-Shenley",51,13,3,1,14,4,86,
24005,"Beauce/Beauce"," 625","Saint-Martin",100,17,19,2,14,1,153,
24005,"Beauce/Beauce"," 626","Saint-Gédéon",126,25,12,14,14,1,192,
24005,"Beauce/Beauce"," 627","Saint-Ludger--Saint-Robert-Bellarmin",33,4,1,0,10,0,48,
24005,"Beauce/Beauce",,Group 1/Groupe 1,72,28,3,4,13,2,122,223
24005,"Beauce/Beauce",,Group 2/Groupe 2,553,140,45,23,82,10,853,

