Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Bell,Barry Devolin,Dave Switzer,Marlene White,Stephen Yardy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 93","Mariposa",16,196,1,42,56,0,311,578
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 94","Mariposa",13,116,1,29,16,0,175,320
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 94-1","Kawartha Lakes",18,95,2,15,31,0,161,316
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 95","Mariposa",16,132,2,33,32,0,215,429
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 96","Mariposa",8,106,1,24,12,1,152,347
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 96-1","Kawartha Lakes",3,77,0,20,9,1,110,272
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 97","Mariposa",22,99,1,50,33,0,205,396
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 97-1","Kawartha Lakes",8,29,0,5,6,0,48,95
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 98","Eldon",20,153,1,41,43,3,261,520
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 99","Eldon",21,108,3,20,37,2,191,400
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 100","Eldon",13,122,0,31,32,0,198,399
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 101","Fenelon",19,128,3,47,19,0,216,450
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 102","Fenelon",11,149,0,48,24,0,232,448
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 103","Fenelon",Void/Supprimé,,,,,,,
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 104","Fenelon",18,128,6,41,54,0,247,475
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 105","Fenelon Falls",14,114,3,43,30,0,204,476
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 106","Fenelon Falls",19,97,1,34,26,0,177,377
