Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Katy Austin,Peter Ellis,Helena Guergis,Andrea Matrosovs,Caley McKibbin,Peter Vander Zaag,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35085,"Simcoe--Grey/Simcoe--Grey"," 136","Springwater",10,11,80,43,0,1,1,146,282
35085,"Simcoe--Grey/Simcoe--Grey"," 137","Springwater",19,20,93,33,1,2,0,168,333
35085,"Simcoe--Grey/Simcoe--Grey"," 138","Springwater",12,24,104,58,0,2,0,200,376
35085,"Simcoe--Grey/Simcoe--Grey"," 139","Springwater",19,26,152,53,0,1,0,251,472
35085,"Simcoe--Grey/Simcoe--Grey"," 140","Springwater",7,11,70,22,3,0,0,113,251
35085,"Simcoe--Grey/Simcoe--Grey"," 141","Springwater",20,23,113,32,0,5,0,193,378
35085,"Simcoe--Grey/Simcoe--Grey"," 142","Springwater",23,20,118,32,1,6,0,200,443
35085,"Simcoe--Grey/Simcoe--Grey"," 143","Essa",14,13,69,26,2,2,1,127,265
35085,"Simcoe--Grey/Simcoe--Grey"," 144","Essa",21,8,65,21,0,1,1,117,251
35085,"Simcoe--Grey/Simcoe--Grey"," 145","Essa",31,12,93,25,1,3,0,165,410
35085,"Simcoe--Grey/Simcoe--Grey"," 146","Essa",29,19,79,24,0,3,1,155,361
35085,"Simcoe--Grey/Simcoe--Grey"," 147","Essa",25,20,108,23,0,3,1,180,443
35085,"Simcoe--Grey/Simcoe--Grey"," 148","Essa",37,18,103,16,0,0,1,175,434
35085,"Simcoe--Grey/Simcoe--Grey"," 149","Essa",14,13,60,16,1,1,0,105,246
35085,"Simcoe--Grey/Simcoe--Grey"," 150","Essa",27,8,88,29,1,6,0,159,395
35085,"Simcoe--Grey/Simcoe--Grey"," 151","Essa",29,11,88,29,0,4,0,161,356
35085,"Simcoe--Grey/Simcoe--Grey"," 152","Essa",18,8,82,15,0,2,2,127,237
35085,"Simcoe--Grey/Simcoe--Grey"," 153","Essa",20,15,83,25,1,1,2,147,292
35085,"Simcoe--Grey/Simcoe--Grey"," 154","Essa",13,16,56,28,1,1,1,116,278
35085,"Simcoe--Grey/Simcoe--Grey"," 155","Essa",34,10,66,20,0,3,0,133,340
35085,"Simcoe--Grey/Simcoe--Grey"," 156","Essa",36,41,107,35,0,6,0,225,490
35085,"Simcoe--Grey/Simcoe--Grey"," 157","Essa",28,19,95,10,1,1,0,154,335
35085,"Simcoe--Grey/Simcoe--Grey"," 158","Essa",38,34,156,40,1,3,1,273,591
35085,"Simcoe--Grey/Simcoe--Grey"," 159","Essa",11,8,62,9,0,0,0,90,217
35085,"Simcoe--Grey/Simcoe--Grey"," 160","Essa",20,5,79,9,0,2,1,116,279
35085,"Simcoe--Grey/Simcoe--Grey"," 161","Essa",14,11,65,12,1,2,1,106,271
35085,"Simcoe--Grey/Simcoe--Grey"," 162","Essa",20,10,79,20,1,1,2,133,297
35085,"Simcoe--Grey/Simcoe--Grey"," 163","Essa",13,34,121,30,0,2,0,200,455
35085,"Simcoe--Grey/Simcoe--Grey"," 164","Essa",15,31,117,38,2,4,0,207,422
35085,"Simcoe--Grey/Simcoe--Grey"," 165","Essa",22,16,104,22,0,0,2,166,333
35085,"Simcoe--Grey/Simcoe--Grey"," 166","Essa",32,19,137,52,1,4,0,245,438
35085,"Simcoe--Grey/Simcoe--Grey"," 167","Essa",19,22,157,45,3,1,0,247,452
35085,"Simcoe--Grey/Simcoe--Grey"," 168","Essa",16,31,122,42,1,12,1,225,418
35085,"Simcoe--Grey/Simcoe--Grey"," 169","Essa",17,37,128,37,0,6,1,226,445
35085,"Simcoe--Grey/Simcoe--Grey"," 170","Essa",22,16,123,36,0,2,0,199,349
35085,"Simcoe--Grey/Simcoe--Grey"," 171","Essa",57,25,166,46,0,8,0,302,546
35085,"Simcoe--Grey/Simcoe--Grey"," 172","Essa",10,14,97,17,0,8,0,146,288
35085,"Simcoe--Grey/Simcoe--Grey"," 173","Essa",13,21,85,34,0,12,1,166,321
35085,"Simcoe--Grey/Simcoe--Grey"," 174","Adjala-Tosorontio",28,15,122,28,0,5,0,198,371
35085,"Simcoe--Grey/Simcoe--Grey"," 175","Adjala-Tosorontio",52,29,139,34,0,8,0,262,433
35085,"Simcoe--Grey/Simcoe--Grey"," 176","Adjala-Tosorontio",23,26,114,41,0,15,2,221,429
35085,"Simcoe--Grey/Simcoe--Grey"," 177","Adjala-Tosorontio",21,18,144,54,1,9,1,248,415
35085,"Simcoe--Grey/Simcoe--Grey"," 178","Adjala-Tosorontio",20,17,95,35,3,9,1,180,334
35085,"Simcoe--Grey/Simcoe--Grey"," 179","Adjala-Tosorontio",25,19,105,49,0,3,1,202,410
35085,"Simcoe--Grey/Simcoe--Grey"," 180","Adjala-Tosorontio",21,17,101,27,0,7,0,173,333
35085,"Simcoe--Grey/Simcoe--Grey"," 181","Adjala-Tosorontio",27,28,108,44,0,8,0,215,414
35085,"Simcoe--Grey/Simcoe--Grey"," 182","Adjala-Tosorontio",22,20,137,45,4,10,1,239,514
35085,"Simcoe--Grey/Simcoe--Grey"," 183","Adjala-Tosorontio",17,34,101,35,1,6,0,194,367
35085,"Simcoe--Grey/Simcoe--Grey"," 184","Adjala-Tosorontio",18,13,90,23,0,6,1,151,289
35085,"Simcoe--Grey/Simcoe--Grey"," 185","Adjala-Tosorontio",11,18,121,46,0,9,0,205,397
35085,"Simcoe--Grey/Simcoe--Grey"," 186","Adjala-Tosorontio",26,48,154,61,1,4,1,295,485
35085,"Simcoe--Grey/Simcoe--Grey"," 187","Adjala-Tosorontio",21,11,83,32,0,12,0,159,346
35085,"Simcoe--Grey/Simcoe--Grey"," 188","Adjala-Tosorontio",25,13,105,28,0,6,0,177,324
35085,"Simcoe--Grey/Simcoe--Grey"," 189","Adjala-Tosorontio",20,19,119,53,0,2,1,214,402
35085,"Simcoe--Grey/Simcoe--Grey"," 190","Adjala-Tosorontio",17,28,118,50,0,6,3,222,394
