Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Arpin,Jean-Claude JC D'Amours,Jean-Pierre Ouellet,Thérèse Tremblay-Philippe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 150-1","Clair",1,69,71,12,0,153,332
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 151","Saint-François",6,59,133,12,0,210,375
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 152","Saint-François",3,77,118,17,1,216,330
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 153","Connors",6,76,104,23,2,211,355
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 500","Mobile poll/Bureau itinérant",2,66,23,5,4,100,148
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 501","Mobile poll/Bureau itinérant",4,71,59,22,4,160,239
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 502","Mobile poll/Bureau itinérant",6,43,29,6,0,84,102
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 503","Mobile poll/Bureau itinérant",7,51,29,5,0,92,134
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 504","Mobile poll/Bureau itinérant",2,40,33,6,2,83,112
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 505","Mobile poll/Bureau itinérant",2,32,34,6,1,75,96
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 506A","Mobile poll/Bureau itinérant",3,63,57,5,6,134,153
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 506B","Mobile poll/Bureau itinérant",Merged with No. 507/Fusionné avec le nº 507,,,,,,26
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 507","Mobile poll/Bureau itinérant",2,64,23,5,1,95,238
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 600","Dalhousie",22,295,181,164,9,671,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 601","Eel River Crossing",17,192,116,84,11,420,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 602","Campbellton",35,315,272,112,7,741,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 603","Atholville",16,151,121,49,3,340,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 604","Edmundston",17,372,247,44,7,687,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 605","Saint-Quentin",18,122,146,29,13,328,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 606","Kedgwick",13,146,37,11,0,207,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 607","Saint-Jacques",14,309,243,53,5,624,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 608","Edmundston",12,471,362,70,12,927,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 609","Saint-Basile",11,273,150,35,10,479,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 610","Saint-Léonard",4,159,168,43,3,377,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 611","Clair",1,68,74,5,1,149,
13005,"Madawaska--Restigouche/Madawaska--Restigouche",,Group 1/Groupe 1,7,39,72,15,6,139,347
13005,"Madawaska--Restigouche/Madawaska--Restigouche",,Group 2/Groupe 2,21,425,309,68,8,831,

