Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Joslin,Ben Lobb,Greg McClinchey,Tony McQuail,Glen Smith,Dennis Valenta,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35034,"Huron--Bruce/Huron--Bruce"," 39","Kincardine",0,83,82,24,11,1,0,201,372
35034,"Huron--Bruce/Huron--Bruce"," 40","Kincardine",1,46,73,33,16,1,0,170,331
35034,"Huron--Bruce/Huron--Bruce"," 41","Kincardine",4,71,62,32,16,0,1,186,327
35034,"Huron--Bruce/Huron--Bruce"," 42","Kincardine",3,65,64,40,14,0,0,186,350
35034,"Huron--Bruce/Huron--Bruce"," 43","Kincardine",0,54,74,28,14,0,0,170,338
35034,"Huron--Bruce/Huron--Bruce"," 44","Kincardine",4,49,87,34,18,1,1,194,342
35034,"Huron--Bruce/Huron--Bruce"," 45","Kincardine",0,106,110,76,21,7,1,321,637
35034,"Huron--Bruce/Huron--Bruce"," 46","Kincardine",3,68,57,26,10,0,0,164,323
35034,"Huron--Bruce/Huron--Bruce"," 47","Kincardine",2,93,94,54,15,0,0,258,475
35034,"Huron--Bruce/Huron--Bruce"," 48","Millarton",2,59,44,18,11,1,0,135,251
35034,"Huron--Bruce/Huron--Bruce"," 49","Huron",0,66,57,13,2,3,0,141,364
35034,"Huron--Bruce/Huron--Bruce"," 50","Huron",0,71,71,24,10,1,0,177,378
35034,"Huron--Bruce/Huron--Bruce"," 51","Pine River",2,64,49,23,11,1,0,150,258
35034,"Huron--Bruce/Huron--Bruce"," 52","Huron",1,123,106,39,13,0,1,283,424
35034,"Huron--Bruce/Huron--Bruce"," 53","Point Clark",1,121,83,42,20,1,0,268,447
35034,"Huron--Bruce/Huron--Bruce"," 54","Chepstow",13,68,94,31,7,2,2,217,360
35034,"Huron--Bruce/Huron--Bruce"," 55","Riversdale",15,83,41,19,9,2,0,169,304
35034,"Huron--Bruce/Huron--Bruce"," 56","Eden Grove",9,87,54,34,23,1,0,208,412
35034,"Huron--Bruce/Huron--Bruce"," 57","Cargill Siding",7,79,42,9,17,3,1,158,254
35034,"Huron--Bruce/Huron--Bruce"," 58","Dunkeld",14,102,50,18,13,1,0,198,351
35034,"Huron--Bruce/Huron--Bruce"," 59","Walkerton",4,93,95,37,17,0,1,247,466
35034,"Huron--Bruce/Huron--Bruce"," 60","Walkerton",1,68,61,34,21,0,0,185,380
35034,"Huron--Bruce/Huron--Bruce"," 61","Walkerton",4,58,59,43,10,0,1,175,352
35034,"Huron--Bruce/Huron--Bruce"," 62","Walkerton",3,84,39,36,15,2,0,179,406
35034,"Huron--Bruce/Huron--Bruce"," 63","Walkerton",8,76,75,43,15,1,1,219,428
35034,"Huron--Bruce/Huron--Bruce"," 64","Walkerton",5,74,79,38,13,0,0,209,399
35034,"Huron--Bruce/Huron--Bruce"," 65","Walkerton",4,71,47,37,16,3,0,178,361
35034,"Huron--Bruce/Huron--Bruce"," 66","Walkerton",0,55,60,16,10,0,1,142,369
35034,"Huron--Bruce/Huron--Bruce"," 67","Walkerton",2,132,107,35,20,0,1,297,604
