Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joel E. Bernard,Bill Casey,Karen Olsson,Tracy Parsons,Rick Simpson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 51","Springhill",9,126,28,14,13,1,191,439
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 52","Springhill",17,119,18,13,6,2,175,300
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 53","Springhill",6,101,22,7,4,0,140,255
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 54","Springhill",9,126,22,4,3,0,164,288
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 55","Springhill",9,130,26,15,14,2,196,341
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 56","Springhill",9,137,11,11,10,0,178,335
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 57","Springhill",10,82,13,4,12,0,121,272
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 58","Linden",14,172,8,11,0,1,206,340
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 59","West Pugwash",4,119,23,9,3,0,158,297
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 60","Victoria",5,42,5,5,1,0,58,128
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 61","Pugwash Junction",3,56,13,10,1,0,83,320
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 62","South Pugwash",10,64,19,14,0,0,107,211
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 63","Pugwash",7,91,13,11,0,0,122,218
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 64","Pugwash",2,72,8,4,0,0,86,218
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 65","Pugwash",16,113,8,14,3,3,157,293
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 66","Wallace Bridge",16,191,25,24,2,2,260,427
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 67","Malagash",17,134,18,29,3,3,204,336
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 68","Wallace",8,99,18,10,1,3,139,263
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 69","Wentworth",13,173,16,21,2,1,226,365
