Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sébastien Caron,Gilles Duceppe,François Yo Gourd,François Grégoire,Serge Lachapelle,Daniel "F4J" Laforest,Charles K. Langford,Samie Pagé-Quirion,Dylan Perceval-Maxwell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 38","Montréal",17,72,0,22,1,0,5,0,11,1,129,409
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 39","Montréal",28,114,1,44,0,0,2,0,17,2,208,368
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 40","Montréal",24,128,3,35,1,0,7,0,19,2,219,347
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 41","Montréal",25,110,1,60,1,0,5,2,18,3,225,354
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 42","Montréal",32,85,2,28,0,0,6,0,15,0,168,324
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 43","Montréal",Void/Supprimé,,,,,,,,,,,
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 44","Montréal",40,89,1,37,1,1,9,0,17,3,198,401
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 45","Montréal",20,111,2,30,0,0,2,1,8,2,176,319
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 46","Montréal",45,115,3,45,0,0,9,0,21,0,238,411
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 47","Montréal",32,156,4,36,1,0,2,0,20,0,251,458
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 48","Montréal",37,151,4,55,1,0,8,0,20,3,279,421
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 49","Montréal",27,132,2,32,0,0,3,0,19,3,218,327
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 50","Montréal",46,100,1,51,0,0,6,1,21,5,231,395
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 51","Montréal",27,127,1,38,0,0,7,1,25,0,226,381
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 52","Montréal",24,51,0,25,0,0,7,0,26,0,133,246
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 53","Montréal",25,69,1,32,0,0,8,0,17,2,154,370
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 54","Montréal",80,140,1,68,0,1,12,0,20,3,325,542
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 55","Montréal",26,144,0,33,0,2,3,0,4,1,213,375
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 55-1","Montréal",28,152,3,54,0,0,7,0,14,3,261,451
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 56","Montréal",36,171,2,43,1,0,9,0,16,0,278,428
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 57","Montréal",23,145,7,36,0,0,4,1,11,1,228,369
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 58","Montréal",17,85,1,22,0,0,7,0,16,0,148,249
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 59","Montréal",28,146,3,33,1,0,4,1,16,0,232,404
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 60","Montréal",45,131,0,42,0,1,11,0,19,2,251,401
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 61","Montréal",21,127,1,26,0,0,6,1,10,3,195,296
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 62","Montréal",20,118,2,37,1,0,13,0,9,2,202,322
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 63","Montréal",29,121,1,44,0,0,7,0,11,4,217,328
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 64","Montréal",30,111,2,39,0,0,5,0,29,0,216,380
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 65","Montréal",36,148,4,52,1,2,5,1,15,0,264,424
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 66","Montréal",30,108,2,27,1,2,12,0,11,1,194,341
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 67","Montréal",69,152,2,56,0,0,29,0,22,1,331,546
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 68","Montréal",42,109,0,52,0,0,15,1,29,0,248,397
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 69","Montréal",30,133,3,52,0,0,5,1,19,1,244,391
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 70","Montréal",25,95,3,45,0,0,7,0,25,1,201,350
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 71","Montréal",30,139,2,39,1,0,11,0,29,4,255,457
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 72","Montréal",43,118,3,43,0,1,5,0,12,0,225,395
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 73","Montréal",25,149,2,42,1,0,4,0,29,0,252,378
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 74","Montréal",31,117,3,42,0,0,7,3,21,0,224,366
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 75","Montréal",40,133,2,30,0,0,9,0,18,3,235,389
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 76","Montréal",33,67,3,28,0,0,4,1,10,1,147,337
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 77","Montréal",42,111,4,54,0,0,11,0,29,1,252,374
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 77-1","Montréal",35,77,1,47,2,1,5,0,27,0,195,346
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 78","Montréal",36,106,4,46,0,2,17,0,23,0,234,422
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 79","Montréal",33,78,1,25,0,0,11,0,14,1,163,333
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 80","Montréal",30,78,1,31,0,0,4,0,18,0,162,263
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 81","Montréal",36,92,1,40,0,0,21,2,20,1,213,332
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 82","Montréal",44,108,2,38,2,1,3,0,23,2,223,419
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 83","Montréal",41,100,1,36,2,0,9,0,26,1,216,372
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 84","Montréal",59,102,1,55,2,0,7,1,28,1,256,448
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 85","Montréal",38,133,1,51,0,0,1,0,25,2,251,425
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 86","Montréal",43,106,0,42,0,0,11,0,16,1,219,374
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 87","Montréal",52,86,0,46,1,0,14,0,0,1,200,393
