Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Philip Bender,Manuel Couto,Drew Garvie,Tom King,Kornelis Klevering,Gloria Kovach,Karen Levenson,Mike Nagy,John Turmel,Frank Valeriote,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35027,"Guelph/Guelph"," 187","Guelph",0,0,0,12,0,161,1,46,0,135,2,357,464
35027,"Guelph/Guelph"," 188","Guelph",0,0,1,17,0,160,0,38,0,134,2,352,455
35027,"Guelph/Guelph"," 189","Guelph",0,0,1,11,1,78,0,44,0,141,0,276,510
35027,"Guelph/Guelph"," 190","Guelph",0,0,0,19,0,64,0,45,1,127,0,256,412
35027,"Guelph/Guelph"," 191","Guelph",0,0,0,26,0,73,0,74,0,104,0,277,435
35027,"Guelph/Guelph"," 192","Guelph",1,0,0,17,0,66,0,56,0,123,1,264,469
35027,"Guelph/Guelph"," 193","Guelph",0,0,0,19,0,100,0,41,0,153,0,313,576
35027,"Guelph/Guelph"," 194","Guelph",0,1,0,18,0,125,0,47,0,137,0,328,550
35027,"Guelph/Guelph"," 195","Guelph",2,0,0,38,0,80,1,32,0,94,0,247,435
35027,"Guelph/Guelph"," 195-1","Guelph",0,0,1,15,0,101,0,31,0,64,1,213,392
35027,"Guelph/Guelph"," 195-2","Guelph",1,0,0,26,0,112,0,37,0,85,0,261,482
35027,"Guelph/Guelph"," 195-3A","Guelph",0,0,0,32,1,89,0,33,0,102,1,258,422
35027,"Guelph/Guelph"," 195-3B","Guelph",0,0,0,22,0,112,0,29,0,66,0,229,401
35027,"Guelph/Guelph"," 196","Guelph",5,0,1,55,1,72,2,99,0,115,0,350,596
35027,"Guelph/Guelph"," 197","Guelph",2,0,0,47,1,129,0,96,0,129,1,405,635
35027,"Guelph/Guelph"," 197-1","Guelph",1,0,1,33,0,50,0,55,0,83,0,223,381
35027,"Guelph/Guelph"," 198A","Guelph",0,0,0,41,1,102,0,46,0,114,0,304,536
35027,"Guelph/Guelph"," 198B","Guelph",0,0,1,24,0,124,0,55,1,115,2,322,512
35027,"Guelph/Guelph"," 198-1","Guelph",Merged with No. 198-2/Fusionné avec le nº 198-2,,,,,,,,,,,,156
35027,"Guelph/Guelph"," 198-2","Guelph",4,0,1,23,0,131,0,56,0,94,1,310,404
35027,"Guelph/Guelph"," 198-3","Guelph",1,0,1,36,0,79,0,45,0,81,2,245,434
35027,"Guelph/Guelph"," 198-4","Guelph",2,0,0,33,0,130,0,67,3,109,0,344,591
35027,"Guelph/Guelph"," 199A","Guelph",2,0,1,23,1,62,0,34,1,87,0,211,347
35027,"Guelph/Guelph"," 199B","Guelph",5,0,0,32,1,62,0,29,0,88,0,217,393
35027,"Guelph/Guelph"," 199-1","Guelph",1,0,0,46,0,110,0,57,0,115,0,329,592
35027,"Guelph/Guelph"," 199-2","Guelph",0,0,0,13,0,65,0,10,0,53,0,141,243
35027,"Guelph/Guelph"," 200","Guelph",0,0,0,28,0,66,0,47,1,58,0,200,386
35027,"Guelph/Guelph"," 200-1A","Guelph",1,0,1,26,2,75,1,35,1,67,0,209,374
35027,"Guelph/Guelph"," 200-1B","Guelph",2,1,1,20,0,87,0,33,0,77,0,221,365
35027,"Guelph/Guelph"," 201","Guelph",1,0,0,26,0,92,0,35,1,73,0,228,531
35027,"Guelph/Guelph"," 201-1","Guelph",1,0,0,10,0,59,0,20,0,57,0,147,277
35027,"Guelph/Guelph"," 500","Mobile poll/Bureau itinérant",1,0,2,16,2,34,1,9,0,40,3,108,187
35027,"Guelph/Guelph"," 501","Mobile poll/Bureau itinérant",1,0,0,11,1,81,2,12,1,84,4,197,383
35027,"Guelph/Guelph"," 502","Mobile poll/Bureau itinérant",2,0,2,18,0,42,1,7,0,43,1,116,189
35027,"Guelph/Guelph"," 600","Guelph",0,0,2,84,2,241,0,90,0,255,3,677,
35027,"Guelph/Guelph"," 601","Guelph",0,0,0,110,1,274,2,122,1,269,2,781,
35027,"Guelph/Guelph"," 602","Guelph",0,0,0,95,0,183,1,112,1,271,3,666,
35027,"Guelph/Guelph"," 603","Guelph",0,0,0,92,3,228,0,69,0,177,3,572,
35027,"Guelph/Guelph"," 604","Guelph",3,1,1,63,2,212,2,88,0,159,2,533,
35027,"Guelph/Guelph"," 605","Guelph",1,0,0,85,1,91,1,92,1,135,1,408,
35027,"Guelph/Guelph"," 606","Guelph",0,0,0,79,1,67,0,78,0,93,1,319,
35027,"Guelph/Guelph"," 607","Guelph",0,0,0,84,0,177,2,120,0,220,0,603,
35027,"Guelph/Guelph"," 608","Guelph",0,0,1,65,1,181,0,103,1,210,3,565,
35027,"Guelph/Guelph"," 609","Guelph",0,0,0,68,2,417,0,101,0,441,1,1030,
35027,"Guelph/Guelph"," 610","Guelph",0,0,0,18,0,155,0,34,0,149,0,356,
35027,"Guelph/Guelph"," 611","Guelph",0,0,0,5,0,16,0,20,0,27,0,68,
