Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michelle Aubin,Jean Guy Dubé,Yvon Godin,Odette Robichaud,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13001,"Acadie--Bathurst/Acadie--Bathurst"," 516","Mobile poll/Bureau itinérant",3,6,28,49,3,89,129
13001,"Acadie--Bathurst/Acadie--Bathurst"," 517","Mobile poll/Bureau itinérant",0,17,33,32,3,85,125
13001,"Acadie--Bathurst/Acadie--Bathurst"," 518 ","Mobile poll/Bureau itinérant",0,5,12,18,0,35,18
13001,"Acadie--Bathurst/Acadie--Bathurst"," 600","Petit-Rocher",8,52,136,85,4,285,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 601","Robertville",4,30,118,33,0,185,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 602","Beresford",2,50,169,59,0,280,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 603","Bathurst",8,117,248,113,6,492,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 604","Bathurst",18,113,248,78,3,460,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 605","Bathurst",13,116,314,102,4,549,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 606","Nipisiguit",4,44,128,20,0,196,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 607","Allardville",0,21,119,22,1,163,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 608","Grande Anse",5,26,134,24,2,191,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 609","Paquetville",11,74,340,86,0,511,
