Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Adele Boucher Rymhs,Liliane Maisonneuve,Edwin Siggelkow,Mélanie Simard,Jennifer Villebrun,Chris Warkentin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48022,Peace River/Peace River,99,Falher,19,11,0,6,0,73,0,109,198
48022,Peace River/Peace River,100,Falher,28,21,2,2,7,120,1,181,390
48022,Peace River/Peace River,101,Falher,23,22,2,4,4,89,1,145,358
48022,Peace River/Peace River,102,Girouxville,20,16,0,4,4,60,1,105,226
48022,Peace River/Peace River,103,Tangent,12,9,4,3,7,105,0,140,232
48022,Peace River/Peace River,104,Eaglesham,19,9,3,1,13,125,0,170,342
48022,Peace River/Peace River,105,Belloy,30,2,2,3,11,83,0,131,260
48022,Peace River/Peace River,106,Rycroft,34,8,1,2,14,134,1,194,370
48022,Peace River/Peace River,107,Rycroft,28,5,0,7,9,120,0,169,355
48022,Peace River/Peace River,108,Rycroft,24,1,0,0,3,60,1,89,139
48022,Peace River/Peace River,109,Spirit River Settlement,34,5,4,2,21,130,0,196,341
48022,Peace River/Peace River,110,Spirit River,49,13,1,3,23,176,0,265,403
48022,Peace River/Peace River, 110-1,Spirit River,Merged with No. 110/Fusionné avec le nº 110,,,,,,,,199
48022,Peace River/Peace River,111,Spirit River,8,4,0,0,7,107,0,126,215
48022,Peace River/Peace River,112,Blueberry Mountain,16,5,1,1,12,99,0,134,214
48022,Peace River/Peace River,113,Gordondale,12,2,0,1,8,80,0,103,196
48022,Peace River/Peace River,114,Bay Tree,17,4,1,2,5,212,0,241,462
48022,Peace River/Peace River,115,Demmitt,7,3,4,0,3,52,0,69,170
48022,Peace River/Peace River,116,Valhalla Centre,22,5,1,1,9,191,1,230,476
48022,Peace River/Peace River,117,Hythe,6,3,1,0,12,72,0,94,180
48022,Peace River/Peace River,118,Hythe,15,5,1,1,13,98,0,133,352
48022,Peace River/Peace River,119,Hythe,21,1,0,2,7,73,0,104,243
48022,Peace River/Peace River,120,Lymburn,29,18,0,2,12,55,0,116,263
48022,Peace River/Peace River,121,Goodfare,11,1,1,1,14,108,0,136,266
48022,Peace River/Peace River,122,Rio Grande,10,4,1,1,10,68,0,94,186
48022,Peace River/Peace River,123,Elmworth,11,3,1,1,9,125,0,150,282
48022,Peace River/Peace River,124,Halcourt,12,0,0,0,8,82,0,102,206
48022,Peace River/Peace River,125,Albright,15,2,0,1,12,98,2,130,245
48022,Peace River/Peace River, 126A,Beaverlodge,9,1,1,0,10,60,0,81,190
48022,Peace River/Peace River, 126B,Mobile poll/Bureau itinérant,Merged with No. 503/Fusionné avec le nº 503,,,,,,,,36
48022,Peace River/Peace River,127,Beaverlodge,17,6,0,2,13,112,0,150,335
48022,Peace River/Peace River,128,Beaverlodge,7,11,0,1,9,70,0,98,230
48022,Peace River/Peace River, 128-1,Beaverlodge,24,6,3,0,14,146,3,196,544
48022,Peace River/Peace River,129,Beaverlodge,30,9,3,2,17,157,0,218,465
48022,Peace River/Peace River,130,Huallen,28,4,1,0,18,129,0,180,411
48022,Peace River/Peace River,131,Wembley,45,7,2,1,17,187,0,259,704
48022,Peace River/Peace River,132,Wembley,23,9,2,1,18,120,0,173,365
48022,Peace River/Peace River,133,Beaverlodge,13,6,1,0,16,137,0,173,339
48022,Peace River/Peace River,134,Lake Saskatoon,21,6,0,1,12,128,0,168,324
48022,Peace River/Peace River,135,Niobe,8,3,2,0,6,153,0,172,271
48022,Peace River/Peace River,136,La Glace,26,0,1,1,24,158,0,210,381
48022,Peace River/Peace River,137,Woking,35,6,2,1,19,123,1,187,358
48022,Peace River/Peace River,138,Peoria,10,0,0,0,3,64,0,77,200
48022,Peace River/Peace River,139,Teepee Creek,27,8,5,2,26,192,0,260,537
48022,Peace River/Peace River,140,Webster,34,9,8,3,14,194,0,262,563
48022,Peace River/Peace River,141,Sexsmith,15,9,0,1,14,205,0,244,462
48022,Peace River/Peace River,142,Sexsmith,21,9,2,0,14,135,0,181,401
48022,Peace River/Peace River,143,Sexsmith,26,15,1,1,22,226,0,291,747
48022,Peace River/Peace River,144,Sexsmith,7,3,0,0,7,142,0,159,313
48022,Peace River/Peace River,145,Sexsmith,11,3,2,1,7,87,0,111,237
48022,Peace River/Peace River,146,Hermit Lake,11,7,1,2,25,155,0,201,553
48022,Peace River/Peace River,147,Dimsdale,10,13,3,0,24,203,2,255,461
48022,Peace River/Peace River,148,Flyingshot Lake Settlement,13,8,3,0,17,229,0,270,615
48022,Peace River/Peace River,149,Grande Prairie,35,11,2,0,15,94,1,158,871
