Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Janine Gibson,Shirley Hiebert,Ross Martin,David Reimer,Vic Toews,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46008,"Provencher/Provencher"," 84","Morris",4,22,18,6,180,1,231,398
46008,"Provencher/Provencher"," 85","Lowe Farm",16,16,12,26,153,2,225,446
46008,"Provencher/Provencher"," 86","Morris",18,27,34,9,127,1,216,391
46008,"Provencher/Provencher"," 87","Morris",8,23,29,3,138,0,201,317
46008,"Provencher/Provencher"," 88","Morris",4,14,18,3,158,1,198,300
46008,"Provencher/Provencher"," 89","St. Jean Baptiste",9,29,8,3,68,0,117,185
46008,"Provencher/Provencher"," 90","St. Jean Baptiste",13,46,25,2,105,1,192,338
46008,"Provencher/Provencher"," 91","Roseau River Reserve",3,32,42,3,16,1,97,298
46008,"Provencher/Provencher"," 92","Letellier",21,43,24,6,80,2,176,336
46008,"Provencher/Provencher"," 93","Emerson",6,24,47,3,124,4,208,334
46008,"Provencher/Provencher"," 94","Emerson",11,11,23,1,89,1,136,231
46008,"Provencher/Provencher"," 95","Dominion City",15,23,19,3,205,1,266,509
46008,"Provencher/Provencher"," 96","Dufrost",8,25,11,0,61,1,106,151
