Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jo-Anne Boulding,Tony Clement,Glen Hodgson,Jamie McGarvey,David Rowland,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 142B","Gravenhurst",8,63,16,21,2,0,110,216
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 143","Gravenhurst",21,36,9,9,3,0,78,217
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 144","Gravenhurst",36,95,35,38,3,0,207,387
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 145","Gravenhurst",35,133,35,50,2,0,255,550
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 145-1A","Gravenhurst",Merged with No. 146A/Fusionné avec le nº 146A,,,,,,,36
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 145-1B","Gravenhurst",Merged with No. 146B/Fusionné avec le nº 146B,,,,,,,33
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 146A","Gravenhurst",19,45,16,26,0,0,106,175
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 146B","Gravenhurst",16,65,15,28,1,0,125,169
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 147A","Bracebridge",14,40,10,46,0,1,111,215
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 147B","Bracebridge",24,52,16,33,2,1,128,275
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 148","Bracebridge",36,57,31,60,0,0,184,428
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 149","Bracebridge",20,61,28,67,1,1,178,391
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 150","Bracebridge",45,105,31,73,1,0,255,455
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 151","Bracebridge",34,80,42,44,1,1,202,421
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 152A","Bracebridge",16,35,17,30,0,1,99,245
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 152B","Bracebridge",26,41,18,45,1,1,132,229
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 153A","Bracebridge",11,71,16,37,1,1,137,245
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 153B","Bracebridge",19,75,16,39,0,0,149,264
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 153-1A","Bracebridge",Merged with No. 153A/Fusionné avec le nº 153A,,,,,,,51
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 153-1B","Bracebridge",Merged with No. 153B/Fusionné avec le nº 153B,,,,,,,60
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 154","Beaumaris",35,127,29,79,2,1,273,424
