Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brad Carroll,Margaret Chandler,Jason Kenney,Chris Willott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48007,"Calgary Southeast/Calgary-Sud-Est"," 197-2","Calgary",26,31,177,25,0,259,532
48007,"Calgary Southeast/Calgary-Sud-Est"," 198","Calgary",24,19,251,22,2,318,568
48007,"Calgary Southeast/Calgary-Sud-Est"," 198-1A","Calgary",25,26,161,22,0,234,457
48007,"Calgary Southeast/Calgary-Sud-Est"," 198-1B","Calgary",22,34,165,37,0,258,562
48007,"Calgary Southeast/Calgary-Sud-Est"," 199A","Calgary",13,23,148,12,0,196,350
48007,"Calgary Southeast/Calgary-Sud-Est"," 199B","Calgary",29,21,164,4,0,218,353
48007,"Calgary Southeast/Calgary-Sud-Est"," 200A","Calgary",29,20,199,17,0,265,604
48007,"Calgary Southeast/Calgary-Sud-Est"," 200B","Calgary",27,14,167,31,0,239,592
48007,"Calgary Southeast/Calgary-Sud-Est"," 201A","Calgary",18,11,112,10,0,151,381
48007,"Calgary Southeast/Calgary-Sud-Est"," 201B","Calgary",19,14,116,18,1,168,376
48007,"Calgary Southeast/Calgary-Sud-Est"," 202A","Calgary",17,7,111,6,0,141,319
48007,"Calgary Southeast/Calgary-Sud-Est"," 202B","Calgary",17,3,130,11,0,161,364
48007,"Calgary Southeast/Calgary-Sud-Est"," 203","Calgary",11,14,116,16,1,158,433
48007,"Calgary Southeast/Calgary-Sud-Est"," 204","Calgary",6,11,88,11,0,116,311
48007,"Calgary Southeast/Calgary-Sud-Est"," 205A","Calgary",11,14,100,17,0,142,365
48007,"Calgary Southeast/Calgary-Sud-Est"," 205B","Calgary",8,6,79,21,0,114,291
48007,"Calgary Southeast/Calgary-Sud-Est"," 206","Calgary",6,20,151,2,0,179,483
48007,"Calgary Southeast/Calgary-Sud-Est"," 207","Calgary",16,28,135,11,0,190,487
48007,"Calgary Southeast/Calgary-Sud-Est"," 208A","Calgary",13,13,112,7,1,146,356
48007,"Calgary Southeast/Calgary-Sud-Est"," 208B","Calgary",17,20,149,16,0,202,477
48007,"Calgary Southeast/Calgary-Sud-Est"," 209A","Calgary",11,18,168,16,0,213,564
48007,"Calgary Southeast/Calgary-Sud-Est"," 209B","Calgary",12,16,200,20,1,249,583
48007,"Calgary Southeast/Calgary-Sud-Est"," 209C","Calgary",21,27,182,18,1,249,560
48007,"Calgary Southeast/Calgary-Sud-Est"," 400","Calgary",14,13,57,16,1,101,354
48007,"Calgary Southeast/Calgary-Sud-Est"," 500","Mobile poll/Bureau itinérant",18,8,109,7,1,143,212
48007,"Calgary Southeast/Calgary-Sud-Est"," 501","Mobile poll/Bureau itinérant",19,9,130,12,1,171,268
48007,"Calgary Southeast/Calgary-Sud-Est"," 502","Mobile poll/Bureau itinérant",30,9,177,9,0,225,381
48007,"Calgary Southeast/Calgary-Sud-Est"," 600","Calgary",30,24,193,25,2,274,
48007,"Calgary Southeast/Calgary-Sud-Est"," 601","Calgary",55,51,330,24,1,461,
48007,"Calgary Southeast/Calgary-Sud-Est"," 602","Calgary",39,43,381,19,0,482,
48007,"Calgary Southeast/Calgary-Sud-Est"," 603","Calgary",38,41,236,27,0,342,
48007,"Calgary Southeast/Calgary-Sud-Est"," 604","Calgary",47,52,556,36,0,691,
48007,"Calgary Southeast/Calgary-Sud-Est"," 605","Calgary",24,34,254,22,0,334,
48007,"Calgary Southeast/Calgary-Sud-Est"," 606","Calgary",24,30,210,7,0,271,
48007,"Calgary Southeast/Calgary-Sud-Est"," 607","Calgary",25,15,209,19,0,268,
48007,"Calgary Southeast/Calgary-Sud-Est"," 608","Calgary",31,22,253,11,2,319,
