Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Boudria,Jean-Sébastien Caron,Pierre Lemieux,Sylvie Lemieux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 146","Casselman",93,35,53,8,3,192,352
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 146-1","Casselman",108,37,79,7,0,231,397
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 147","Casselman",123,34,89,9,2,257,398
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 147-1","Casselman",94,30,60,8,0,192,288
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 148","St. Elmo",25,12,116,16,1,170,256
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 149","Dunvegan",58,17,129,20,0,224,372
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 150","Pine Grove",27,11,101,12,0,151,239
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 151","Breadalbane",58,12,125,14,1,210,304
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 152","Glen Sandfield",33,8,127,21,1,190,315
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 153","Lochiel",37,14,70,6,1,128,225
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 154","Glen Robertson",64,24,121,12,3,224,342
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 154-1","Glen Robertson",43,18,70,7,2,140,279
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 155","McCormick",104,29,126,12,1,272,485
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 156","Alexandria",80,24,109,8,2,223,404
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 157","Alexandria",71,21,82,12,2,188,343
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 158","Alexandria",61,16,62,6,1,146,294
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 159","Alexandria",48,20,69,9,0,146,309
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 159-1","North Glengarry",32,9,75,4,0,120,252
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 160","Alexandria",40,15,59,11,2,127,248
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 161","Alexandria",79,26,99,9,2,215,469
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 162","Greenfield",61,23,134,14,0,232,431
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 163","Dominionville",31,23,105,14,0,173,333
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 164","Maxville",40,16,115,14,0,185,409
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 165","Maxville",33,10,147,5,2,197,325
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 166","Apple Hill",84,35,180,12,3,314,575
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 167","Kenyon",62,24,77,11,0,174,353
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 167-1","North Glengarry",51,12,96,10,1,170,342
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 500","Mobile poll/Bureau itinérant",70,1,44,7,4,126,163
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 501","Mobile poll/Bureau itinérant",36,2,13,1,1,53,165
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 502","Mobile poll/Bureau itinérant",21,1,39,0,8,69,157
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 503","Mobile poll/Bureau itinérant",53,1,23,1,5,83,131
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 504","Mobile poll/Bureau itinérant",49,2,18,2,4,75,121
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 505","Mobile poll/Bureau itinérant",71,4,36,2,3,116,151
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 506","Mobile poll/Bureau itinérant",26,3,24,3,2,58,99
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 507","Mobile poll/Bureau itinérant",45,4,31,1,7,88,158
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 508","Mobile poll/Bureau itinérant",30,1,21,2,2,56,109
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 509","Mobile poll/Bureau itinérant",24,2,41,2,0,69,159
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 510","Mobile poll/Bureau itinérant",67,4,33,6,9,119,143
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 511","Mobile poll/Bureau itinérant",47,2,31,1,4,85,128
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 512","Mobile poll/Bureau itinérant",25,9,43,7,8,92,162
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 513","Mobile poll/Bureau itinérant",34,1,18,5,1,59,131
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 600","Cumberland",198,36,441,30,2,707,
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 601","Cumberland",60,22,146,18,0,246,
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 602","Clarence",151,37,206,15,4,413,
