Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rod Bruinooge,David Cosby,John Loewen,Heidi Loewen-Steffano,Sean Robert,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46013,"Winnipeg South/Winnipeg-Sud"," 139A","Winnipeg",99,8,50,0,38,1,196,332
46013,"Winnipeg South/Winnipeg-Sud"," 139B","Winnipeg",109,6,54,1,38,0,208,351
46013,"Winnipeg South/Winnipeg-Sud"," 140","Winnipeg",124,13,89,0,35,1,262,382
46013,"Winnipeg South/Winnipeg-Sud"," 141","Winnipeg",211,14,111,2,37,1,376,531
46013,"Winnipeg South/Winnipeg-Sud"," 142","Winnipeg",127,9,97,0,23,0,256,411
46013,"Winnipeg South/Winnipeg-Sud"," 142-1","Winnipeg",126,15,82,0,19,1,243,382
46013,"Winnipeg South/Winnipeg-Sud"," 143A","Winnipeg",84,6,60,0,18,1,169,286
46013,"Winnipeg South/Winnipeg-Sud"," 143B","Winnipeg",108,2,56,0,15,0,181,287
46013,"Winnipeg South/Winnipeg-Sud"," 143-1","Winnipeg",135,14,91,2,41,3,286,511
46013,"Winnipeg South/Winnipeg-Sud"," 144","Winnipeg",128,6,98,0,34,2,268,407
46013,"Winnipeg South/Winnipeg-Sud"," 144-1","Winnipeg",48,6,36,1,8,0,99,139
46013,"Winnipeg South/Winnipeg-Sud"," 145","Winnipeg",117,17,65,2,23,1,225,440
46013,"Winnipeg South/Winnipeg-Sud"," 146","Winnipeg",179,16,85,0,19,1,300,513
46013,"Winnipeg South/Winnipeg-Sud"," 500","Mobile poll/Bureau itinérant",71,1,33,0,22,3,130,164
46013,"Winnipeg South/Winnipeg-Sud"," 600","Winnipeg",383,20,238,1,30,3,675,
46013,"Winnipeg South/Winnipeg-Sud"," 601","Winnipeg",211,3,98,1,14,0,327,
46013,"Winnipeg South/Winnipeg-Sud"," 602","Winnipeg",254,13,128,0,33,3,431,
46013,"Winnipeg South/Winnipeg-Sud"," 603","Winnipeg",200,11,142,1,36,2,392,
46013,"Winnipeg South/Winnipeg-Sud"," 604","Winnipeg",212,27,156,1,38,0,434,
46013,"Winnipeg South/Winnipeg-Sud"," 605","Winnipeg",299,20,200,0,53,0,572,
46013,"Winnipeg South/Winnipeg-Sud"," 606","Winnipeg",302,21,167,0,63,0,553,
46013,"Winnipeg South/Winnipeg-Sud",,Group 1/Groupe 1,78,4,28,1,6,7,124,221
46013,"Winnipeg South/Winnipeg-Sud",,Group 2/Groupe 2,518,31,276,2,74,18,919,

