Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stella Ambler,Frank Chilelli,Gurbax S. Malhi,Mark Pajot,Jash Puniya,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 8","Brampton",36,0,163,9,38,3,249,540
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 9","Brampton",29,2,79,6,13,0,129,363
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 10A","Brampton",82,1,47,7,10,2,149,306
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 10B","Brampton",17,2,23,2,9,3,56,155
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 10-1A","Brampton",69,2,105,5,22,0,203,371
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 10-1B","Brampton",62,0,92,4,23,0,181,330
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 10-2A","Brampton",32,0,86,1,16,4,139,282
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 10-2B","Brampton",40,0,115,3,25,3,186,406
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 10-3","Brampton",82,1,136,6,49,0,274,538
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 10-4A","Brampton",69,3,154,10,34,4,274,597
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 10-4B","Brampton",64,3,196,5,33,3,304,648
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 10-4C","Brampton",65,0,170,4,18,5,262,569
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 10-5A","Brampton",46,1,175,3,42,1,268,519
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 10-5B","Brampton",31,1,72,4,30,4,142,340
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 11","Brampton",79,0,115,12,20,1,227,498
