District,Poll Number,Poll Name,Almaz Aladass,Fernand Deschamps,Stéphane Dion,William Fayad,Ken Fernandez,Zaid Mahayni,Alex Neron,Marc Rahmé,Nilda Vargas,Rejected Ballots,Total Vote,Electors
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,170,Saint-Laurent,4,0,215,37,0,7,1,15,0,0,279,512
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,171,Saint-Laurent,6,0,198,38,0,15,3,19,0,0,279,566
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,400,Saint-Laurent,2,0,176,18,1,5,1,8,0,1,212,340
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,401,Saint-Laurent,3,0,164,24,0,8,1,9,0,1,210,368
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,402,Saint-Laurent,5,0,122,35,0,15,1,14,1,3,196,305
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,403,Saint-Laurent,3,0,180,27,1,8,0,11,1,0,231,393
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,500,Mobile poll/Bureau itinérant,1,1,139,7,0,1,0,3,1,1,154,257
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,501,Mobile poll/Bureau itinérant,2,0,94,3,1,2,0,5,0,0,107,189
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,600,Montréal,11,0,247,105,0,28,1,34,0,7,433,
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,601,Montréal,17,5,388,116,1,24,3,44,1,7,606,
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,602,Montréal,4,0,366,113,3,17,3,42,0,5,553,
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,603,Montréal,0,0,164,52,0,19,0,17,0,3,255,
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,604,Montréal,21,0,545,145,1,39,4,47,2,2,806,
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,605,Montréal,4,0,388,16,2,12,0,26,0,3,451,
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,606,Montréal,6,0,341,101,0,33,2,35,0,2,520,
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,,Group 1/Groupe 1,2,0,29,13,0,7,3,7,0,1,62,114
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,,Group 2/Groupe 2,10,0,595,137,0,60,4,58,0,3,867,
