District,Poll Number,Poll Name,Joe Fontana,Tim Gatten,Gustavo Granados-Ocon,Bronagh Joyce Morgan,Rod Morley,Joe Swan,Rejected Ballots,Total Vote,Electors
London North Centre/London-Centre-Nord,200,London,44,23,1,12,1,61,0,142,308
London North Centre/London-Centre-Nord,201,London,46,28,1,6,1,22,0,104,282
London North Centre/London-Centre-Nord,202,London,37,24,0,8,2,67,0,138,355
London North Centre/London-Centre-Nord,203A,London,44,26,0,13,3,59,1,146,345
London North Centre/London-Centre-Nord,203B,Mobile poll/Bureau itinérant,Merged with No. 84C,,,,,,,,38
London North Centre/London-Centre-Nord,204,London,71,31,0,10,1,42,0,155,345
London North Centre/London-Centre-Nord,205,London,75,43,0,9,0,75,0,202,445
London North Centre/London-Centre-Nord,206,London,71,31,0,21,2,51,0,176,487
London North Centre/London-Centre-Nord,207,London,37,20,0,8,1,56,0,122,367
London North Centre/London-Centre-Nord,208,London,49,28,0,20,2,73,3,175,447
London North Centre/London-Centre-Nord,209,London,57,15,0,11,0,49,2,134,360
London North Centre/London-Centre-Nord,210,London,47,27,1,5,3,83,0,166,422
London North Centre/London-Centre-Nord,211,London,44,47,2,5,0,63,3,164,356
London North Centre/London-Centre-Nord,212,London,43,27,0,7,1,54,0,132,320
London North Centre/London-Centre-Nord,213,London,56,40,0,8,1,56,1,162,391
London North Centre/London-Centre-Nord,214,London,33,30,0,9,0,50,1,123,354
London North Centre/London-Centre-Nord,215,London,55,32,0,4,1,53,1,146,342
London North Centre/London-Centre-Nord,216,London,28,14,0,6,0,33,0,81,256
London North Centre/London-Centre-Nord,217,London,71,23,1,9,1,64,2,171,354
London North Centre/London-Centre-Nord,218,London,63,31,0,10,5,77,3,189,351
London North Centre/London-Centre-Nord,400,London,89,71,0,3,2,32,1,198,280
London North Centre/London-Centre-Nord,401,London,Merged with No. 403,,,,,,,,21
London North Centre/London-Centre-Nord,402,London,94,57,0,2,0,44,0,197,284
London North Centre/London-Centre-Nord,403,London,7,0,0,1,0,1,1,10,33
London North Centre/London-Centre-Nord,404,London,Merged with No. 403,,,,,,,,12
London North Centre/London-Centre-Nord,405,London,Merged with No. 403,,,,,,,,8
London North Centre/London-Centre-Nord,406,London,Merged with No. 411,,,,,,,,9
