District,Poll Number,Poll Name,Steve Armstrong,Chris Bradshaw,Gord Brown,Joe Jordan,Rejected Ballots,Total Vote,Electors
Leeds--Grenville/Leeds--Grenville,48,Gananoque,15,8,57,37,0,117,239
Leeds--Grenville/Leeds--Grenville,49,Gananoque,24,7,120,73,1,225,429
Leeds--Grenville/Leeds--Grenville,50,Gananoque,28,6,99,86,2,221,381
Leeds--Grenville/Leeds--Grenville,51,Gananoque,18,16,76,88,0,198,384
Leeds--Grenville/Leeds--Grenville,52,Gananoque,35,9,98,109,0,251,399
Leeds--Grenville/Leeds--Grenville,53,Gananoque,14,9,124,88,0,235,358
Leeds--Grenville/Leeds--Grenville,54,Athens,29,13,146,60,1,249,433
Leeds--Grenville/Leeds--Grenville,55,Athens,19,8,157,54,0,238,359
Leeds--Grenville/Leeds--Grenville,56,Athens,14,13,137,63,1,228,367
Leeds--Grenville/Leeds--Grenville,57,Athens,51,17,203,133,0,404,651
Leeds--Grenville/Leeds--Grenville,58A,Athens,38,13,155,86,0,292,466
Leeds--Grenville/Leeds--Grenville,58B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,55
Leeds--Grenville/Leeds--Grenville,59,Front of Yonge,21,10,66,35,0,132,232
Leeds--Grenville/Leeds--Grenville,60,Front of Yonge,26,8,72,42,2,150,284
Leeds--Grenville/Leeds--Grenville,61,Front of Yonge,39,19,153,97,2,310,475
Leeds--Grenville/Leeds--Grenville,62,Front of Yonge,42,22,176,132,2,374,554
Leeds--Grenville/Leeds--Grenville,63,Front of Yonge,36,22,109,92,3,262,388
Leeds--Grenville/Leeds--Grenville,64,Elizabethtown-Kitley,17,8,146,42,1,214,273
Leeds--Grenville/Leeds--Grenville,65,Elizabethtown-Kitley,48,11,203,51,0,313,448
Leeds--Grenville/Leeds--Grenville,66,Elizabethtown-Kitley,15,7,84,21,0,127,182
Leeds--Grenville/Leeds--Grenville,67,Elizabethtown-Kitley,54,13,198,84,0,349,505
Leeds--Grenville/Leeds--Grenville,68,Elizabethtown-Kitley,34,18,151,57,0,260,352
Leeds--Grenville/Leeds--Grenville,69,Elizabethtown-Kitley,36,14,162,87,1,300,426
Leeds--Grenville/Leeds--Grenville,70,Elizabethtown-Kitley,14,7,71,37,0,129,191
Leeds--Grenville/Leeds--Grenville,71,Elizabethtown-Kitley,50,17,101,86,2,256,407
Leeds--Grenville/Leeds--Grenville,72,Elizabethtown-Kitley,25,10,120,56,0,211,337
