District,Poll Number,Poll Name,Giorgio Cattabeni,Morgan DuFord,Steve Garland,Art Hanger,Dale Muti,Rejected Ballots,Total Vote,Electors
Calgary Northeast/Calgary-Nord-Est,71,Calgary,14,14,1,99,34,3,165,394
Calgary Northeast/Calgary-Nord-Est,72,Calgary,21,7,0,97,50,1,176,471
Calgary Northeast/Calgary-Nord-Est,73,Calgary,8,6,3,59,45,1,122,243
Calgary Northeast/Calgary-Nord-Est,74,Calgary,10,3,0,47,24,0,84,220
Calgary Northeast/Calgary-Nord-Est,75,Calgary,11,10,4,77,29,1,132,336
Calgary Northeast/Calgary-Nord-Est,76,Calgary,17,11,5,127,32,1,193,464
Calgary Northeast/Calgary-Nord-Est,77,Calgary,14,4,1,66,24,0,109,274
Calgary Northeast/Calgary-Nord-Est,78,Calgary,14,9,0,82,37,0,142,359
Calgary Northeast/Calgary-Nord-Est,79,Calgary,5,6,2,62,22,0,97,264
Calgary Northeast/Calgary-Nord-Est,80,Calgary,13,7,1,115,38,1,175,450
Calgary Northeast/Calgary-Nord-Est,81,Calgary,8,4,6,79,43,2,142,397
Calgary Northeast/Calgary-Nord-Est,82,Calgary,12,10,3,71,68,1,165,452
Calgary Northeast/Calgary-Nord-Est,83,Calgary,14,4,3,96,74,1,192,471
Calgary Northeast/Calgary-Nord-Est,84,Calgary,16,11,0,79,26,1,133,368
Calgary Northeast/Calgary-Nord-Est,85,Calgary,10,11,0,68,44,0,133,332
Calgary Northeast/Calgary-Nord-Est,86,Calgary,19,6,4,74,80,2,185,419
Calgary Northeast/Calgary-Nord-Est,87,Calgary,14,9,1,139,47,1,211,446
Calgary Northeast/Calgary-Nord-Est,88,Calgary,7,12,1,84,39,0,143,305
