District,Poll Number,Poll Name,Blaine Armstrong,Carol Hughes,Lindsay Killen,Brent St. Denis,Rejected Ballots,Total Vote,Electors
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,157,McKerrow,54,88,7,75,2,226,434
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,158,Espanola,50,66,8,112,0,236,413
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,159,Espanola,57,49,1,97,1,205,415
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,160,Espanola,62,65,4,86,1,218,406
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,161,Espanola,40,58,8,78,4,188,365
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,162,Espanola,35,43,4,64,1,147,334
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,163,Espanola,38,65,3,54,1,161,342
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,164,Espanola,35,71,4,55,2,167,344
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,165,Espanola,52,49,7,60,0,168,383
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,166,Espanola,46,65,5,61,3,180,360
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,167,Espanola,44,50,10,47,2,153,410
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,168,Merritt,53,57,11,48,0,169,368
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,169,Killarney TWP,Void,,,,,,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,170,Whitefish Falls,45,29,3,51,0,128,230
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,171,Birch Island--Whitefish River 4,5,32,10,58,0,105,234
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,172,Little Current,42,28,5,46,0,121,256
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,173,Honora--Rockville,59,19,15,60,0,153,225
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,174,Sucker Creek 23,7,9,2,48,0,66,164
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,175,Howland,50,37,9,48,0,144,288
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,176,Little Current,41,29,7,65,0,142,315
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,177,Little Current,88,69,11,89,0,257,565
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,178,Little Current,Void,,,,,,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,179,Sheguiandah,65,44,9,71,0,189,379
