District,Poll Number,Poll Name,John Baloun,Laurie Hawn,Lyle Kenny,Anne McLellan,Meghan McMaster,Peggy Morton,David J. Parker,Sean Tisdall,Rejected Ballots,Total Vote,Electors
Edmonton Centre/Edmonton-Centre,58,Edmonton,0,100,3,66,15,0,7,1,1,193,342
Edmonton Centre/Edmonton-Centre,59,Edmonton,3,119,0,78,13,0,18,1,1,233,418
Edmonton Centre/Edmonton-Centre,60,Edmonton,0,43,3,45,10,1,2,3,4,111,366
Edmonton Centre/Edmonton-Centre,61,Edmonton,1,107,1,69,11,0,10,2,0,201,405
Edmonton Centre/Edmonton-Centre,62,Edmonton,2,60,0,44,13,0,9,4,2,134,404
Edmonton Centre/Edmonton-Centre,63,Edmonton,0,51,1,43,14,0,6,1,3,119,361
Edmonton Centre/Edmonton-Centre,64,Edmonton,1,94,2,73,10,1,8,3,1,193,475
Edmonton Centre/Edmonton-Centre,65,Edmonton,1,32,0,39,8,0,3,0,0,83,244
Edmonton Centre/Edmonton-Centre,66,Edmonton,1,66,4,55,27,0,8,1,1,163,371
Edmonton Centre/Edmonton-Centre,67,Edmonton,0,20,1,36,6,0,3,0,2,68,314
Edmonton Centre/Edmonton-Centre,68,Edmonton,0,103,2,84,17,0,10,2,1,219,401
Edmonton Centre/Edmonton-Centre,69,Edmonton,0,78,5,60,24,0,8,1,0,176,357
Edmonton Centre/Edmonton-Centre,70,Edmonton,2,40,1,40,10,0,7,1,0,101,307
Edmonton Centre/Edmonton-Centre,71,Edmonton,0,119,1,93,13,1,8,4,0,239,467
Edmonton Centre/Edmonton-Centre,72,Edmonton,1,92,3,49,6,0,7,0,0,158,399
Edmonton Centre/Edmonton-Centre,73,Edmonton,0,119,2,92,14,0,14,0,1,242,383
Edmonton Centre/Edmonton-Centre,74,Edmonton,0,139,0,109,28,0,13,3,1,293,447
Edmonton Centre/Edmonton-Centre,75,Edmonton,0,98,5,114,19,0,13,2,0,251,390
Edmonton Centre/Edmonton-Centre,76,Edmonton,1,84,4,97,15,0,7,2,0,210,299
