District,Poll Number,Poll Name,Stéphane Chénier,Laura Colella,Payam Eslami,Ricardo Fellicetti,Paul-Alexis François,Massimo Pacetti,Rejected Ballots,Total Vote,Electors
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,185,Montréal,2,13,5,6,39,161,5,231,424
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,186,Montréal,3,8,14,6,26,162,6,225,484
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,187,Montréal,0,6,8,4,18,139,2,177,345
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,188,Montréal,0,14,8,6,41,133,4,206,381
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,189,Montréal,3,9,5,4,27,141,6,195,395
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,190,Montréal,2,10,8,7,40,102,4,173,499
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,191,Montréal,1,8,8,1,80,74,3,175,441
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,192,Montréal,2,5,8,6,58,127,6,212,494
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,193,Montréal,1,14,4,3,24,128,9,183,470
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,600,Montréal,1,28,28,3,89,245,7,401,
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,601,Montréal,1,19,29,8,77,365,7,506,
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,602,Montréal,2,18,19,9,67,181,4,300,
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,603,Montréal,2,13,24,5,63,199,4,310,
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,604,Montréal,2,24,13,5,54,232,9,339,
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,605,Montréal,1,19,25,6,57,200,7,315,
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,606,Montréal,3,23,12,13,103,215,10,379,
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,607,Montréal,2,14,19,10,142,182,10,379,
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,,Group 1/Groupe 1,0,0,5,3,19,37,8,72,116
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,,Group 2/Groupe 2,1,20,19,6,62,177,4,289,
