District,Poll Number,Poll Name,Marc Bombois,Andrea Goldsmith,Anne Jamieson,John Reynolds,Nicholas Simons,Blair Wilson,Rejected Ballots,Total Vote,Electors
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,98B,Squamish,1,19,0,53,61,60,1,195,349
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,99,Squamish,1,19,1,72,91,43,0,227,424
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,100,Squamish,2,12,0,60,82,79,1,236,526
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,101,Squamish,2,41,1,77,88,92,0,301,513
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,102,Squamish,0,23,0,36,42,49,0,150,331
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,103,Squamish,2,11,0,43,55,58,0,169,348
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,104,Squamish,1,19,0,61,91,58,0,230,430
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,105,Squamish,6,29,0,43,83,54,0,215,418
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,106A,Whistler,2,48,1,35,34,104,0,224,393
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,106B,Whistler,1,44,1,40,37,109,0,232,438
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,107A,Whistler,0,39,0,9,25,68,0,141,301
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,107B,Whistler,2,32,0,33,31,83,0,181,333
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,108,Whistler,0,46,0,18,32,58,1,155,323
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,109,Whistler,0,17,0,30,12,43,0,102,227
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,110,Whistler,3,44,0,38,32,83,1,201,462
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,111,Whistler,1,20,0,24,13,33,1,92,174
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,112,Whistler,1,37,1,43,21,70,0,173,353
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,113,Whistler,3,59,0,41,27,107,0,237,445
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,114,Whistler,0,25,0,35,18,111,0,189,363
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,115,Whistler,0,47,1,57,33,103,0,241,578
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,116,Whistler,2,39,1,36,27,94,0,199,368
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,117,Whistler,3,28,1,31,13,55,0,131,256
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,118,Whistler,0,16,0,26,23,69,0,134,306
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,119,Whistler,0,58,0,30,36,103,0,227,431
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,120,Whistler,2,43,0,54,32,110,0,241,506
