Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Steve Armes,Bob Callow,Pamela Courtot,Lui Temelkovski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Oak Ridges--Markham/Oak Ridges--Markham"," 115","Markham",2,101,20,172,0,295,579
"Oak Ridges--Markham/Oak Ridges--Markham"," 116","Markham",2,57,8,134,2,203,394
"Oak Ridges--Markham/Oak Ridges--Markham"," 117","Markham",4,132,8,89,0,233,443
"Oak Ridges--Markham/Oak Ridges--Markham"," 118","Markham",8,67,17,92,1,185,364
"Oak Ridges--Markham/Oak Ridges--Markham"," 119A","Markham",6,107,13,90,0,216,357
"Oak Ridges--Markham/Oak Ridges--Markham"," 119B","Markham",5,102,9,100,0,216,374
"Oak Ridges--Markham/Oak Ridges--Markham"," 119-1A","Markham",6,59,17,77,0,159,314
"Oak Ridges--Markham/Oak Ridges--Markham"," 119-1B","Markham",9,88,13,74,0,184,285
"Oak Ridges--Markham/Oak Ridges--Markham"," 120A","Markham",2,53,15,110,0,180,401
"Oak Ridges--Markham/Oak Ridges--Markham"," 120B","Markham",2,53,10,84,0,149,289
"Oak Ridges--Markham/Oak Ridges--Markham"," 120-1A","Markham",6,65,13,107,0,191,424
"Oak Ridges--Markham/Oak Ridges--Markham"," 120-1B","Markham",6,64,19,96,0,185,346
"Oak Ridges--Markham/Oak Ridges--Markham"," 120-2","Markham",10,66,39,127,0,242,484
"Oak Ridges--Markham/Oak Ridges--Markham"," 120-3","Markham",3,44,18,105,0,170,315
"Oak Ridges--Markham/Oak Ridges--Markham"," 121","Markham",5,90,26,162,1,284,495
"Oak Ridges--Markham/Oak Ridges--Markham"," 121-1","Markham",5,101,40,199,2,347,606
"Oak Ridges--Markham/Oak Ridges--Markham"," 121-2","Markham",1,76,17,218,3,315,521
"Oak Ridges--Markham/Oak Ridges--Markham"," 121-3A","Markham",8,64,14,137,0,223,402
"Oak Ridges--Markham/Oak Ridges--Markham"," 121-3B","Markham",6,99,35,164,0,304,559
"Oak Ridges--Markham/Oak Ridges--Markham"," 122A","Markham",5,61,24,109,1,200,390
"Oak Ridges--Markham/Oak Ridges--Markham"," 122B","Markham",6,54,17,96,2,175,332
"Oak Ridges--Markham/Oak Ridges--Markham"," 122C","Markham",5,50,20,110,0,185,365
"Oak Ridges--Markham/Oak Ridges--Markham"," 122-1","Markham",9,80,27,146,6,268,499
"Oak Ridges--Markham/Oak Ridges--Markham"," 122-2","Markham",1,41,32,86,0,160,332
"Oak Ridges--Markham/Oak Ridges--Markham"," 123A","Markham",7,54,17,131,0,209,372
"Oak Ridges--Markham/Oak Ridges--Markham"," 123B","Markham",10,74,40,168,0,292,536
"Oak Ridges--Markham/Oak Ridges--Markham"," 123-1A","Markham",4,72,24,137,2,239,432
"Oak Ridges--Markham/Oak Ridges--Markham"," 123-1B","Markham",6,121,33,171,1,332,559
"Oak Ridges--Markham/Oak Ridges--Markham"," 123-2","Markham",8,84,20,147,0,259,502
"Oak Ridges--Markham/Oak Ridges--Markham"," 123-3","Markham",6,62,18,134,0,220,350
"Oak Ridges--Markham/Oak Ridges--Markham"," 124","Markham",11,59,12,54,0,136,259
"Oak Ridges--Markham/Oak Ridges--Markham"," 124-1A","Markham",7,26,11,85,0,129,235
"Oak Ridges--Markham/Oak Ridges--Markham"," 124-1B","Markham",7,58,20,128,1,214,379
"Oak Ridges--Markham/Oak Ridges--Markham"," 124-1C","Markham",6,64,25,175,1,271,465
"Oak Ridges--Markham/Oak Ridges--Markham"," 124-1D","Markham",7,79,35,191,0,312,526
"Oak Ridges--Markham/Oak Ridges--Markham"," 124-1E","Markham",2,55,29,154,1,241,436
"Oak Ridges--Markham/Oak Ridges--Markham"," 124-1F","Markham",1,31,11,146,0,189,359
"Oak Ridges--Markham/Oak Ridges--Markham"," 124-1G","Markham",8,90,29,194,1,322,540
"Oak Ridges--Markham/Oak Ridges--Markham"," 124-2A","Markham",6,77,27,146,0,256,398
"Oak Ridges--Markham/Oak Ridges--Markham"," 124-2B","Markham",1,58,17,104,0,180,275
"Oak Ridges--Markham/Oak Ridges--Markham"," 124-2C","Markham",6,60,24,193,0,283,457
"Oak Ridges--Markham/Oak Ridges--Markham"," 124-2D","Markham",2,85,25,155,1,268,447
"Oak Ridges--Markham/Oak Ridges--Markham"," 124-2E","Markham",3,81,37,162,0,283,430
"Oak Ridges--Markham/Oak Ridges--Markham"," 124-2F","Markham",2,74,28,209,2,315,527
"Oak Ridges--Markham/Oak Ridges--Markham"," 124-2G","Mobile poll/Bureau itinérant",4,22,2,18,2,48,44
"Oak Ridges--Markham/Oak Ridges--Markham"," 125A","Markham",17,96,32,159,0,304,531
"Oak Ridges--Markham/Oak Ridges--Markham"," 125B","Markham",11,108,34,154,1,308,510
"Oak Ridges--Markham/Oak Ridges--Markham"," 125C","Markham",8,66,25,153,2,254,411
