Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anne Jamieson,John Weston,Blair Wilson,Judith Wilson,Silvaine Zimmermann,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 13","Powell River",0,41,31,86,4,1,163,346
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 14","Powell River",1,53,50,102,5,0,211,417
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 15","Powell River",0,90,50,111,8,0,259,475
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 16","Powell River",0,68,45,77,4,0,194,420
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 17","Powell River",0,59,57,75,13,0,204,397
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 18","Powell River",0,40,46,72,12,2,172,358
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 19","Powell River",2,117,62,119,6,1,307,537
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 20","Powell River",1,93,64,138,9,0,305,543
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 21","Powell River",0,65,44,89,9,0,207,425
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 22","Powell River",2,68,39,85,13,0,207,391
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 23","Powell River",1,64,55,75,9,0,204,334
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 24","Powell River",0,52,56,80,10,0,198,356
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 25","Powell River",2,72,64,83,8,0,229,405
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 26","Powell River",1,67,73,101,7,1,250,384
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 27","Powell River",1,80,59,94,9,0,243,437
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 28","Powell River",1,84,81,79,7,2,254,414
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 29","Powell River",0,110,90,87,4,0,291,470
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 30","Powell River",1,99,108,95,9,2,314,507
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 31","Vananda",0,49,40,116,3,0,208,314
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 32","Myrtle Point",0,67,59,64,11,1,202,324
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 33","Myrtle Point",1,92,87,101,10,0,291,509
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 34","Myrtle Point",0,69,54,91,11,1,226,362
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 35","Brew Bay",1,84,67,123,17,0,292,469
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 36","Gillies Bay",3,68,87,154,38,0,350,510
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 37","Irvines Landing",2,153,135,69,19,1,379,623
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 38","Egmont",1,25,29,30,12,0,97,172
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 39","Halfmoon Bay",2,60,57,67,12,1,199,331
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 40","Madeira Park",1,141,123,103,16,1,385,585
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 41","Madeira Park",0,101,65,63,20,0,249,365
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 42","Madeira Park",1,53,59,61,8,1,183,281
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 43","Halfmoon Bay",3,116,103,74,22,1,319,538
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 44A","Halfmoon Bay",0,56,83,99,13,0,251,399
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 44B","Halfmoon Bay",3,101,91,89,13,1,298,482
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 45","Halfmoon Bay",0,83,103,64,19,0,269,436
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 46","Sechelt",0,54,63,16,4,1,138,255
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 47","Sechelt",0,77,69,53,11,0,210,381
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 48","Sechelt",0,111,170,122,21,0,424,683
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 49","Sechelt",2,141,136,80,14,0,373,617
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 50","Sechelt",0,123,78,65,21,0,287,534
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 51","Sechelt",2,54,84,70,13,1,224,337
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 52","Sechelt",2,80,104,87,18,0,291,486
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 53","Sechelt",2,55,52,79,6,2,196,350
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 54A","Sechelt",1,64,71,64,10,0,210,350
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 54B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,29
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 55","Sechelt",0,62,63,76,10,1,212,376
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 56","Sechelt",1,10,74,96,9,0,190,358
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 57","Selma Park",0,80,85,62,11,1,239,400
