Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chris Axworthy,Don Cameron,Jim Maddin,Dale Sanders,Maurice Vellacott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 20","Carlton",13,1,15,4,48,0,81,159
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 21","Beardy 97 and Okemasis 96",310,1,27,0,11,1,350,500
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 22","Duck Lake",50,6,33,0,50,0,139,227
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 23","Duck Lake",82,6,36,0,46,2,172,413
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 24","Laird",17,9,48,4,146,0,224,340
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 25","Waldheim",10,4,12,0,104,0,130,202
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 26","Waldheim",12,4,20,1,117,1,155,197
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 27","Waldheim",16,8,24,5,238,2,293,482
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 28","Rosthern",12,6,26,5,92,0,141,254
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 29A","Rosthern",39,5,39,4,69,1,157,320
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 29B","Rosthern",32,1,22,0,48,0,103,237
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 30","Rosthern",57,4,71,6,125,1,264,383
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 31","Rosthern",35,4,31,5,64,0,139,239
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 32","Hepburn",10,2,11,3,107,1,134,163
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 33","Hepburn",16,6,44,7,300,1,374,468
