Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Don Bell,Michael Hill,Sherry Shaghaghi,Cindy Silver,Jim Stephenson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"North Vancouver/North Vancouver"," 113","North Vancouver",54,0,10,70,6,0,140,286
"North Vancouver/North Vancouver"," 114","North Vancouver",106,0,50,88,25,1,270,456
"North Vancouver/North Vancouver"," 115A","North Vancouver",81,0,22,50,21,0,174,289
"North Vancouver/North Vancouver"," 115B","North Vancouver",81,0,21,70,7,0,179,295
"North Vancouver/North Vancouver"," 116","North Vancouver",115,1,44,114,23,0,297,474
"North Vancouver/North Vancouver"," 117","North Vancouver",113,0,26,66,26,0,231,387
"North Vancouver/North Vancouver"," 118","North Vancouver",125,0,19,98,17,0,259,384
"North Vancouver/North Vancouver"," 119","North Vancouver",115,0,21,120,24,1,281,383
"North Vancouver/North Vancouver"," 120","North Vancouver",101,0,18,84,26,0,229,340
"North Vancouver/North Vancouver"," 121","North Vancouver",96,0,24,83,17,4,224,345
"North Vancouver/North Vancouver"," 122","North Vancouver",131,0,24,111,13,0,279,393
"North Vancouver/North Vancouver"," 123","North Vancouver",145,0,17,118,15,0,295,438
"North Vancouver/North Vancouver"," 124","North Vancouver",137,0,60,104,35,1,337,498
"North Vancouver/North Vancouver"," 125","North Vancouver",157,1,38,98,26,2,322,482
"North Vancouver/North Vancouver"," 126","North Vancouver",136,2,43,96,23,0,300,445
"North Vancouver/North Vancouver"," 127","North Vancouver",119,0,46,81,34,0,280,435
"North Vancouver/North Vancouver"," 128","North Vancouver",126,0,46,93,30,0,295,443
"North Vancouver/North Vancouver"," 129","North Vancouver",91,1,18,127,13,0,250,329
"North Vancouver/North Vancouver"," 130","North Vancouver",140,0,27,80,31,0,278,425
