Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Laurie Hawn,Donna Martyn,Anne McLellan,Peggy Morton,David J. Parker,Chandra Segaran Swamy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Edmonton Centre/Edmonton-Centre"," 107","Edmonton",45,26,64,2,5,1,0,143,356
"Edmonton Centre/Edmonton-Centre"," 108","Edmonton",101,56,103,2,40,3,1,306,568
"Edmonton Centre/Edmonton-Centre"," 109","Edmonton",60,33,63,1,11,1,1,170,456
"Edmonton Centre/Edmonton-Centre"," 110","Edmonton",50,20,42,0,7,0,0,119,352
"Edmonton Centre/Edmonton-Centre"," 111","Edmonton",66,28,86,0,17,0,2,199,567
"Edmonton Centre/Edmonton-Centre"," 112","Edmonton",29,14,49,0,16,1,3,112,281
"Edmonton Centre/Edmonton-Centre"," 113","Edmonton",48,23,79,0,9,1,0,160,601
"Edmonton Centre/Edmonton-Centre"," 114","Edmonton",68,15,144,0,16,0,0,243,414
"Edmonton Centre/Edmonton-Centre"," 115","Edmonton",76,36,96,1,14,1,0,224,411
"Edmonton Centre/Edmonton-Centre"," 116","Edmonton",85,19,101,0,11,0,14,230,484
"Edmonton Centre/Edmonton-Centre"," 117","Edmonton",73,47,100,0,16,0,0,236,418
"Edmonton Centre/Edmonton-Centre"," 118","Edmonton",74,34,78,0,20,0,0,206,449
"Edmonton Centre/Edmonton-Centre"," 119","Edmonton",55,32,84,0,17,0,0,188,437
"Edmonton Centre/Edmonton-Centre"," 120","Edmonton",35,17,62,1,11,1,0,127,288
"Edmonton Centre/Edmonton-Centre"," 121","Edmonton",75,21,105,1,22,1,0,225,460
"Edmonton Centre/Edmonton-Centre"," 122","Edmonton",100,21,93,0,4,2,0,220,437
"Edmonton Centre/Edmonton-Centre"," 123","Edmonton",57,17,94,2,12,1,0,183,359
"Edmonton Centre/Edmonton-Centre"," 124","Edmonton",65,17,78,0,12,0,1,173,349
"Edmonton Centre/Edmonton-Centre"," 125","Edmonton",105,6,148,0,8,1,0,268,624
"Edmonton Centre/Edmonton-Centre"," 126","Edmonton",78,24,145,0,21,0,1,269,599
"Edmonton Centre/Edmonton-Centre"," 127","Edmonton",79,45,120,1,17,2,1,265,589
"Edmonton Centre/Edmonton-Centre"," 128A","Edmonton",63,32,94,0,8,0,1,198,473
"Edmonton Centre/Edmonton-Centre"," 128B","Edmonton",61,15,54,0,8,1,0,139,368
