Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leon Benoit,William Munsey,Matthew Sokalski,Ray A Stone,Ron Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 42","St. Michael",94,5,1,32,6,0,138,225
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 43","Beaverhill",135,13,2,21,2,0,173,295
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 44","Bruderheim",119,9,0,38,3,0,169,373
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 44-1","Bruderheim",182,12,1,50,8,1,254,562
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 45","Bruderheim",Void/Supprimé,,,,,,,
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 46","Lamont",150,12,0,34,8,3,207,469
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 47","Lamont",133,5,1,39,3,0,181,350
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 48A","Lamont",111,5,1,25,9,0,151,214
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 48B","Lamont",103,6,1,10,2,0,122,252
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 49","Lamont",107,4,0,14,10,0,135,217
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 50","Hilliard",165,8,0,33,5,1,212,380
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 51","Chipman",180,19,3,41,13,1,257,439
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 52","Mundare",168,7,0,25,3,2,205,334
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 53","Mundare",257,9,2,37,4,0,309,596
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 53-1","Mundare",39,0,0,6,1,0,46,72
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 54","Mundare",154,9,3,27,3,0,196,342
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 55","Willingdon",88,2,5,22,2,0,119,196
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 56","Willingdon",86,9,1,25,3,1,125,244
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 57","Hairy Hill",126,12,1,30,3,1,173,360
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 58","Two Hills",111,4,0,8,4,1,128,230
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 59","Two Hills",87,2,0,11,2,0,102,187
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 60","Two Hills",106,4,1,27,3,0,141,311
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 61","Two Hills",69,7,1,24,1,0,102,210
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 62","Two Hills",92,4,1,24,2,0,123,284
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 63","Beauvallon",157,10,1,32,3,1,204,423
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 64","Myrnam",98,8,1,24,2,0,133,225
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 65","Derwent",157,8,1,19,2,1,188,317
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 66","Looma",233,14,2,49,13,2,313,587
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 66-1","Looma",114,12,0,29,4,0,159,250
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 67","Looma",Void/Supprimé,,,,,,,
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 68","New Sarepta",239,47,0,29,5,0,320,570
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 69","New Sarepta",197,21,1,32,6,0,257,419
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 70","Rolly View",Void/Supprimé,,,,,,,
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 71","New Sarepta",236,28,1,47,6,1,319,673
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 72","Deville",180,15,0,36,11,0,242,380
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 73","Spilstead",220,42,1,41,8,0,312,476
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 74","Shonts",225,16,1,25,3,0,270,388
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 75","Tofield",203,15,1,31,6,0,256,443
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 76","Tofield",240,19,3,53,8,0,323,524
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 77","Tofield",256,22,1,27,7,0,313,470
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 78A","Shonts",101,15,2,24,1,0,143,399
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 78B","Shonts",138,8,0,26,4,0,176,410
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 78-1","Beaver County",73,7,0,15,4,0,99,157
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 78-2","Shonts",58,6,1,16,3,0,84,145
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 79","Ryley",153,6,0,17,4,1,181,270
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 80","Ryley",145,16,3,39,4,0,207,421
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 81","Holden",132,5,0,31,6,1,175,301
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 82","Holden",96,11,3,33,6,0,149,320
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 83","Bruce",136,5,6,19,1,1,168,319
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 84","Viking",139,7,6,11,4,0,167,301
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 85","Viking",151,6,1,15,1,0,174,306
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 86","Viking",59,1,0,13,1,0,74,167
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 87","Viking",105,3,0,11,4,0,123,212
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 88","Viking",160,12,0,22,3,3,200,415
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 89","Kinsella",126,2,0,3,0,0,131,212
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 90","Warwick",133,15,5,31,2,0,186,347
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 91","Inland",189,13,7,31,6,1,247,420
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 92","Vegreville",117,6,2,33,3,1,162,376
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 93","Vegreville",184,10,2,30,11,1,238,434
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 94","Vegreville",239,4,5,30,6,0,284,524
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 95","Vegreville",161,8,4,41,14,0,228,468
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 96","Vegreville",93,7,3,20,5,1,129,371
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 97","Vegreville",117,10,2,42,4,1,176,394
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 98","Vegreville",69,4,9,27,5,0,114,299
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 99","Vegreville",121,9,10,35,13,0,188,386
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 100","Vegreville",119,9,3,28,10,0,169,306
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 101","Vegreville",204,9,7,31,8,0,259,459
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 102","Lavoy",134,8,10,24,5,1,182,338
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 103","Ranfurly",98,7,2,18,4,0,129,191
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 104","Innisfree",95,9,2,15,11,0,132,215
