Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Adam DeVita,Cameron W. Hastings,Costas Menegakis,Bryon Wilfert,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35075,"Richmond Hill/Richmond Hill"," 105","Richmond Hill",61,8,78,83,2,232,524
35075,"Richmond Hill/Richmond Hill"," 106","Richmond Hill",49,5,86,53,3,196,549
35075,"Richmond Hill/Richmond Hill"," 107","Richmond Hill",17,5,77,66,1,166,420
35075,"Richmond Hill/Richmond Hill"," 107-1","Richmond Hill",25,1,37,56,0,119,255
35075,"Richmond Hill/Richmond Hill"," 108","Richmond Hill",31,7,83,41,3,165,395
35075,"Richmond Hill/Richmond Hill"," 109","Richmond Hill",35,9,118,70,0,232,531
35075,"Richmond Hill/Richmond Hill"," 110","Richmond Hill",58,4,85,55,0,202,459
35075,"Richmond Hill/Richmond Hill"," 110-1","Richmond Hill",32,7,55,71,0,165,424
35075,"Richmond Hill/Richmond Hill"," 111","Richmond Hill",45,6,81,85,0,217,486
35075,"Richmond Hill/Richmond Hill"," 112","Richmond Hill",34,10,68,93,2,207,518
35075,"Richmond Hill/Richmond Hill"," 113","Richmond Hill",25,4,85,75,1,190,480
35075,"Richmond Hill/Richmond Hill"," 114","Richmond Hill",34,2,79,85,0,200,527
35075,"Richmond Hill/Richmond Hill"," 115","Richmond Hill",21,3,65,53,2,144,384
35075,"Richmond Hill/Richmond Hill"," 116","Richmond Hill",37,1,101,49,2,190,419
35075,"Richmond Hill/Richmond Hill"," 117","Richmond Hill",29,4,87,82,0,202,472
35075,"Richmond Hill/Richmond Hill"," 118","Richmond Hill",17,2,87,46,0,152,330
35075,"Richmond Hill/Richmond Hill"," 118-1","Richmond Hill",25,9,86,45,0,165,390
35075,"Richmond Hill/Richmond Hill"," 119","Richmond Hill",28,6,108,108,1,251,569
35075,"Richmond Hill/Richmond Hill"," 120","Richmond Hill",34,3,111,88,0,236,473
35075,"Richmond Hill/Richmond Hill"," 121","Richmond Hill",25,4,76,77,1,183,370
35075,"Richmond Hill/Richmond Hill"," 122","Richmond Hill",26,1,107,52,0,186,444
35075,"Richmond Hill/Richmond Hill"," 123","Richmond Hill",27,11,119,82,0,239,571
35075,"Richmond Hill/Richmond Hill"," 124","Richmond Hill",8,2,93,67,0,170,407
35075,"Richmond Hill/Richmond Hill"," 125","Richmond Hill",27,6,81,96,1,211,531
35075,"Richmond Hill/Richmond Hill"," 126","Richmond Hill",23,4,58,42,0,127,375
