Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Denis A. Carrière,Yves Fricot,Richard Harvey,Bruce Hyer,Scot Kyle,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 128","Thunder Bay",Void/Supprimé,,,,,,,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 129","Thunder Bay",3,18,24,82,2,0,129,345
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 130","Thunder Bay",1,42,51,50,7,2,153,313
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 131","Thunder Bay",2,19,27,94,4,1,147,312
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 132","Thunder Bay",Void/Supprimé,,,,,,,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 133","Thunder Bay",3,13,36,83,6,1,142,343
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 134","Thunder Bay",2,18,26,94,5,1,146,328
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 135","Thunder Bay",2,19,25,74,11,2,133,343
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 136","Thunder Bay",0,26,36,98,3,1,164,320
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 137","Thunder Bay",2,56,59,73,2,0,192,338
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 137-1","Thunder Bay",2,58,89,80,2,1,232,428
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 138A","Thunder Bay",0,22,57,58,4,2,143,287
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 138B","Thunder Bay",1,28,41,77,5,0,152,280
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 139","Thunder Bay",0,52,54,63,1,0,170,333
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 140","Thunder Bay",0,53,69,67,5,2,196,408
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 141","Thunder Bay",0,36,59,52,1,0,148,287
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 142","Thunder Bay",1,48,65,79,3,2,198,355
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 143","Thunder Bay",0,34,50,68,4,1,157,271
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 144","Thunder Bay",1,30,56,104,0,0,191,382
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 145","Thunder Bay",1,35,72,79,8,1,196,289
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 146","Thunder Bay",0,29,54,98,7,1,189,371
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 147","Thunder Bay",1,33,54,143,9,0,240,444
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 148","Thunder Bay",0,17,51,119,6,3,196,360
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 149","Thunder Bay",1,32,41,102,7,2,185,351
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 150","Thunder Bay",4,43,28,139,20,1,235,465
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 151","Thunder Bay",0,27,38,98,6,3,172,330
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 152","Thunder Bay",3,50,66,114,8,1,242,457
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 153","Thunder Bay",2,29,28,121,6,0,186,376
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 154","Thunder Bay",0,46,39,98,18,0,201,327
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 155","Thunder Bay",0,36,47,80,9,0,172,320
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 156","Thunder Bay",1,71,68,97,10,0,247,417
