Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Roger Benham,Maggie Braun,Nathan Paul Cullen,Clay Harmon,Rod Taylor,Kyle Warwick,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 78","Prince Rupert",8,0,68,33,1,4,2,116,267
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 79","Rosswood",1,0,35,15,0,3,0,54,77
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 80","Terrace",8,0,110,103,4,6,1,232,446
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 81","Kitsumkaylum 1",6,1,146,28,4,1,5,191,296
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 82A","Terrace",7,1,74,69,3,2,0,156,304
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 82B","Terrace",5,0,76,83,2,6,1,173,317
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 83","Terrace",4,3,100,81,3,8,1,200,420
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 84","Terrace",5,2,93,80,3,6,0,189,338
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 85","Terrace",6,0,72,108,1,6,0,193,347
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 86","Terrace",2,0,77,99,9,5,1,193,330
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 87","Terrace",6,2,112,96,4,5,0,225,430
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 88","Terrace",9,1,83,19,0,6,0,118,333
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 89","Terrace",5,0,107,148,2,8,0,270,452
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 90","Terrace",3,0,79,91,11,4,0,188,367
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 91","Terrace",5,2,103,49,4,5,0,168,357
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 92","Terrace",4,3,47,31,4,6,0,95,214
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 93A","Terrace",0,1,45,48,3,8,0,105,248
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 93B","Terrace",2,0,49,42,1,5,0,99,252
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 94","Terrace",5,0,76,42,1,11,0,135,300
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 95","Terrace",2,1,81,44,0,7,2,137,287
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 96","Terrace",5,0,77,56,0,6,1,145,352
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 97","Terrace",4,1,55,43,1,4,1,109,224
