Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Braden,Jamilé Ghaddar,Anthony Giles,Nancy MacBain,Peter Michael Ormond,David Sweet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 70","Flamborough",27,1,0,13,6,62,1,110,236
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 71","Flamborough",36,0,1,38,7,133,1,216,423
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 72","Flamborough",61,0,0,38,3,124,0,226,391
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 73","Flamborough",33,0,1,22,10,90,0,156,276
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 74","Flamborough",26,0,0,20,5,78,0,129,253
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 75","Flamborough",57,0,3,34,15,138,0,247,510
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 76","Dundas",32,1,1,36,22,89,0,181,309
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 77","Dundas",34,0,0,31,11,99,3,178,322
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 78","Hamilton ",Void/Supprimé,,,,,,,,
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 79","Dundas",87,0,2,35,17,140,0,281,488
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 80","Dundas",80,0,1,54,13,116,0,264,414
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 81","Dundas",48,0,1,58,22,104,1,234,376
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 82","Dundas",65,1,0,54,26,97,1,244,432
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 83","Dundas",34,2,0,68,22,96,2,224,399
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 84","Dundas",35,1,0,53,19,46,0,154,325
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 85","Dundas",34,1,1,42,8,47,0,133,307
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 86","Dundas",60,0,0,51,16,74,2,203,352
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 87","Dundas",69,0,0,67,11,89,0,236,410
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 88","Dundas",25,1,2,52,6,47,0,133,253
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 89","Dundas",31,0,0,51,5,27,0,114,286
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 90","Dundas",74,0,0,52,12,85,1,224,437
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 91","Dundas",95,0,0,61,26,139,0,321,452
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 91-1","Dundas",Void/Supprimé,,,,,,,,
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 92","Dundas",85,0,1,43,27,109,1,266,382
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 93","Dundas",57,0,0,57,7,85,0,206,334
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 94","Dundas",91,0,0,44,11,100,0,246,395
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 95","Dundas",69,0,0,68,9,81,0,227,365
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 96","Dundas",77,1,4,65,16,119,0,282,478
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 97","Dundas",69,0,0,54,8,117,0,248,414
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 98","Hamilton ",61,0,3,57,23,58,2,204,310
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 99","Hamilton ",58,0,1,65,15,46,1,186,285
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 100","Hamilton ",65,0,0,76,25,68,1,235,335
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 101","Hamilton ",105,0,0,44,9,85,0,243,420
