Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wendy Menzies,Cheryl Osborne,Robert Sopuck,Kate Storey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 177","Westbourne",4,13,66,2,0,85,259
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 500","Mobile poll/Bureau itinérant",7,15,16,1,0,39,156
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 501","Mobile poll/Bureau itinérant",4,19,20,2,0,45,93
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 502","Mobile poll/Bureau itinérant",11,21,36,1,1,70,137
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 503","Mobile poll/Bureau itinérant",11,11,21,1,1,45,151
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 504","Mobile poll/Bureau itinérant",16,29,40,2,1,88,153
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 505","Mobile poll/Bureau itinérant",9,12,34,2,7,64,113
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 506","Mobile poll/Bureau itinérant",4,13,28,1,1,47,87
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 507","Mobile poll/Bureau itinérant",13,10,23,0,0,46,79
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 508","Mobile poll/Bureau itinérant",7,5,21,2,0,35,88
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 509","Mobile poll/Bureau itinérant",11,16,37,5,1,70,98
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 510","Mobile poll/Bureau itinérant",15,15,53,2,0,85,130
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 511","Mobile poll/Bureau itinérant",24,19,89,4,0,136,214
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 512","Mobile poll/Bureau itinérant",11,36,56,2,2,107,152
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 513","Mobile poll/Bureau itinérant",10,57,72,4,1,144,203
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 514","Mobile poll/Bureau itinérant",12,20,29,1,1,63,103
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 600","Barrows",0,6,3,2,0,11,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 601","Pelican Rapids",1,4,0,0,0,5,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 602","Birch River--Mafeking",0,8,14,0,0,22,
