Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Judy Foote,Tanya Gutmanis,Stella Magalios,John Ottenheimer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 33","Stephenville",76,2,39,74,0,191,377
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 34","Stephenville",55,2,39,47,1,144,396
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 35","Stephenville",83,0,53,42,0,178,397
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 36","Stephenville",56,4,33,38,1,132,367
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 37","Stephenville",28,0,29,38,0,95,285
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 38","Gallants--Georges Lake",9,0,16,5,0,30,66
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 39","Black Duck Siding",14,1,11,27,0,53,74
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 40","Stephenville Crossing",41,3,28,42,1,115,357
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 40-1","Stephenville Crossing",41,1,15,31,0,88,250
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 41","Stephenville Crossing",62,4,43,59,1,169,471
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 42","Stephenville Crossing",8,1,3,10,1,23,185
