Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Blanchard,Sheila Brown-Eckersley,Devinder Shory,Colette Singh,Cam Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48004,"Calgary Northeast/Calgary-Nord-Est"," 153","Calgary",1,9,82,25,19,0,136,342
48004,"Calgary Northeast/Calgary-Nord-Est"," 154","Calgary",0,9,110,26,58,2,205,486
48004,"Calgary Northeast/Calgary-Nord-Est"," 155","Calgary",1,6,60,21,18,1,107,314
48004,"Calgary Northeast/Calgary-Nord-Est"," 156","Calgary",0,4,35,16,15,1,71,324
48004,"Calgary Northeast/Calgary-Nord-Est"," 157","Calgary",0,6,56,25,13,1,101,305
48004,"Calgary Northeast/Calgary-Nord-Est"," 158","Calgary",4,11,91,27,22,0,155,403
48004,"Calgary Northeast/Calgary-Nord-Est"," 159","Calgary",1,9,97,24,47,1,179,407
48004,"Calgary Northeast/Calgary-Nord-Est"," 160","Calgary",1,4,50,23,14,0,92,289
48004,"Calgary Northeast/Calgary-Nord-Est"," 161","Calgary",1,14,136,15,42,0,208,397
48004,"Calgary Northeast/Calgary-Nord-Est"," 162","Calgary",0,11,92,10,10,0,123,286
48004,"Calgary Northeast/Calgary-Nord-Est"," 163","Calgary",1,11,132,16,22,0,182,369
48004,"Calgary Northeast/Calgary-Nord-Est"," 164","Calgary",1,8,95,14,53,2,173,409
48004,"Calgary Northeast/Calgary-Nord-Est"," 165","Calgary",2,4,92,18,89,1,206,510
48004,"Calgary Northeast/Calgary-Nord-Est"," 166","Calgary",0,2,101,11,15,1,130,282
48004,"Calgary Northeast/Calgary-Nord-Est"," 167","Calgary",1,11,211,20,30,0,273,512
48004,"Calgary Northeast/Calgary-Nord-Est"," 168","Calgary",1,1,81,7,61,0,151,300
48004,"Calgary Northeast/Calgary-Nord-Est"," 168-1","Calgary",0,5,53,18,67,0,143,318
48004,"Calgary Northeast/Calgary-Nord-Est"," 169","Calgary",4,8,110,29,65,0,216,538
48004,"Calgary Northeast/Calgary-Nord-Est"," 170","Calgary",1,3,58,13,23,0,98,275
48004,"Calgary Northeast/Calgary-Nord-Est"," 170-1","Calgary",2,3,69,14,52,2,142,333
48004,"Calgary Northeast/Calgary-Nord-Est"," 400","Calgary",Void/Supprimé,,,,,,,
48004,"Calgary Northeast/Calgary-Nord-Est"," 401","Calgary",Void/Supprimé,,,,,,,
48004,"Calgary Northeast/Calgary-Nord-Est"," 402","Calgary",0,8,230,22,22,1,283,369
48004,"Calgary Northeast/Calgary-Nord-Est"," 500","Mobile poll/Bureau itinérant",3,5,88,7,15,0,118,176
48004,"Calgary Northeast/Calgary-Nord-Est"," 501","Mobile poll/Bureau itinérant",7,6,114,9,24,4,164,278
48004,"Calgary Northeast/Calgary-Nord-Est"," 502","Mobile poll/Bureau itinérant",1,5,93,14,19,3,135,176
48004,"Calgary Northeast/Calgary-Nord-Est"," 600","Calgary",2,52,410,63,87,2,616,
48004,"Calgary Northeast/Calgary-Nord-Est"," 601","Calgary",1,40,449,45,95,3,633,
48004,"Calgary Northeast/Calgary-Nord-Est"," 602","Calgary",1,17,285,38,356,0,697,
48004,"Calgary Northeast/Calgary-Nord-Est"," 603","Calgary",3,13,274,29,397,6,722,
48004,"Calgary Northeast/Calgary-Nord-Est"," 604","Calgary",1,8,154,16,193,0,372,
48004,"Calgary Northeast/Calgary-Nord-Est"," 605","Calgary",2,22,244,27,154,6,455,
48004,"Calgary Northeast/Calgary-Nord-Est"," 606","Calgary",3,8,230,16,181,3,441,
48004,"Calgary Northeast/Calgary-Nord-Est"," 607","Calgary",0,18,343,23,192,6,582,
48004,"Calgary Northeast/Calgary-Nord-Est"," 608","Calgary",4,29,255,47,124,2,461,
48004,"Calgary Northeast/Calgary-Nord-Est"," 609","Calgary",5,11,176,18,99,4,313,
48004,"Calgary Northeast/Calgary-Nord-Est"," 610","Calgary",1,19,251,41,63,1,376,
48004,"Calgary Northeast/Calgary-Nord-Est"," 611","Calgary",2,26,257,37,124,4,450,
48004,"Calgary Northeast/Calgary-Nord-Est",,Group 1/Groupe 1,0,6,32,12,49,11,110,156
48004,"Calgary Northeast/Calgary-Nord-Est",,Group 2/Groupe 2,1,19,330,36,115,3,504,
