Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diane Ablonczy,Collin Anderson,Tony Hajj,Margaret McLeod,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 48","Calgary",122,18,6,20,1,167,387
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 49","Calgary",202,19,7,23,0,251,491
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 50","Calgary",172,9,13,20,0,214,440
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 51","Calgary",202,22,3,15,1,243,603
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 52","Calgary",148,20,6,27,0,201,490
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 53","Calgary",166,32,6,34,1,239,588
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 54","Calgary",140,12,10,14,0,176,455
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 55","Calgary",161,30,10,31,1,233,576
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 56","Calgary",148,29,12,42,0,231,544
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 57","Calgary",52,11,4,6,0,73,220
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 58","Calgary",162,7,7,35,1,212,476
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 59","Calgary",133,23,8,25,0,189,471
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 60","Calgary",161,26,4,29,2,222,536
