Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pierre Audette,Jacques Grenier,Jean-Yves Laforest,Lise St-Denis,Yves Tousignant,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 128","Shawinigan",1,21,53,42,9,5,131,332
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 129","Shawinigan",3,17,27,52,8,5,112,286
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 130","Shawinigan",0,11,38,68,9,12,138,384
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 131","Shawinigan",5,15,29,33,4,0,86,293
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 132","Shawinigan",2,10,32,31,11,5,91,259
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 133","Shawinigan",4,21,41,39,9,5,119,340
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 134","Shawinigan",3,9,38,50,10,3,113,372
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 135","Shawinigan",4,8,39,43,5,10,109,331
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 136","Shawinigan",4,18,34,28,18,1,103,360
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 137","Shawinigan",1,17,47,54,8,6,133,363
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 138","Shawinigan",1,13,39,40,18,4,115,225
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 139","Shawinigan",6,29,50,68,22,2,177,425
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 140","Shawinigan",3,16,29,45,9,4,106,344
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 141","Shawinigan",2,21,37,57,10,1,128,328
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 142","Shawinigan",2,16,36,41,14,0,109,258
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 143","Shawinigan",5,16,30,32,13,1,97,254
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 144","Shawinigan",4,28,54,61,19,4,170,358
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 145","Shawinigan",1,16,35,43,10,1,106,345
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 146","Shawinigan",7,17,57,73,16,10,180,459
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 147","Shawinigan",8,30,45,66,22,8,179,396
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 148","Shawinigan",4,15,32,68,16,3,138,298
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 149","Shawinigan",3,25,42,53,17,8,148,327
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 150","Shawinigan-Sud",4,26,83,85,15,5,218,401
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 151","Shawinigan-Sud",6,24,77,102,9,1,219,403
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 152","Shawinigan-Sud",1,26,73,90,21,4,215,462
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 153","Shawinigan-Sud",7,54,82,144,23,6,316,569
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 154","Shawinigan-Sud",5,23,59,71,14,5,177,380
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 155","Shawinigan-Sud",1,21,40,73,20,6,161,309
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 156","Shawinigan-Sud",8,31,52,74,19,5,189,390
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 157","Shawinigan-Sud",5,37,52,82,31,5,212,394
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 158","Shawinigan-Sud",4,14,50,43,17,4,132,328
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 159","Shawinigan-Sud",4,10,42,58,13,5,132,293
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 160","Shawinigan-Sud",1,21,34,40,10,8,114,290
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 161","Shawinigan-Sud",3,10,26,31,14,1,85,229
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 162","Shawinigan-Sud",3,21,44,49,12,5,134,316
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 163","Shawinigan-Sud",4,18,43,53,19,2,139,331
