Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tim Hickey,Daryl Kramp,Patrick Larkin,Michael McMahon,Andrew Skinner,Peter Tinsley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 147","Belleville",3,69,4,47,1,67,0,191,422
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 148","Belleville",1,65,7,50,0,50,2,175,399
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 149","Belleville",0,44,7,19,1,14,0,85,296
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 150","Belleville",1,79,8,69,1,27,1,186,372
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 151","Belleville",2,104,6,44,0,48,0,204,461
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 152","Belleville",1,70,11,63,4,36,0,185,495
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 153","Belleville",0,39,6,24,0,14,0,83,285
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 154","Belleville",0,92,4,57,2,31,1,187,504
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 155","Belleville",3,82,7,63,1,20,0,176,510
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 156","Belleville",3,71,4,52,0,20,0,150,389
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 157","Belleville",1,53,4,38,1,14,2,113,352
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 158","Belleville",4,62,5,40,0,21,0,132,401
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 159","Belleville",0,32,2,52,1,19,0,106,345
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 160","Belleville",3,61,6,36,1,42,0,149,397
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 161","Belleville",1,63,8,68,1,24,1,166,405
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 162","Belleville",0,93,5,65,2,31,4,200,359
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 163","Belleville",2,114,4,73,1,49,0,243,577
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 164","Belleville",1,59,5,39,1,32,0,137,326
