Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Harold Albrecht,Albert Ashley,Lorne Bruce,Bob Rosehart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 163","Kitchener",144,9,72,66,1,292,517
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 164","Kitchener",106,22,78,33,0,239,420
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 165","Kitchener",144,14,69,77,0,304,482
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 166","Kitchener",43,9,42,15,0,109,236
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 167","Kitchener",50,3,42,21,0,116,288
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 168","Kitchener",134,10,56,46,0,246,441
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 169","Kitchener",70,8,64,40,1,183,344
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 170","Kitchener",240,7,28,67,0,342,679
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 170-1","Kitchener",157,9,38,46,0,250,420
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 170-2","Kitchener",115,8,19,51,0,193,329
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 171","Kitchener",159,13,33,48,1,254,497
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 400","Kitchener",83,8,62,32,2,187,344
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 401","Kitchener",76,10,88,45,2,221,412
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 402","Kitchener",61,14,58,30,1,164,301
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 403","Kitchener",5,1,3,0,0,9,15
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 404","Kitchener",89,5,59,31,1,185,266
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 500","Mobile poll/Bureau itinérant",38,7,6,19,1,71,98
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 501","Mobile poll/Bureau itinérant",51,1,11,16,3,82,193
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 502","Mobile poll/Bureau itinérant",34,0,10,12,0,56,94
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 600","Bloomingdale",371,10,31,153,2,567,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 601","Elmira",660,31,89,212,1,993,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 602","Heidelberg",243,18,46,106,1,414,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 603","Baden",503,24,74,171,2,774,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 604","New Hamburg",426,30,74,134,0,664,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 605","Kitchener",174,14,62,86,0,336,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 606","Kitchener",171,11,71,92,3,348,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 607","Kitchener",218,10,85,96,1,410,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 608","Kitchener",181,16,64,81,0,342,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 609","Kitchener",277,23,115,135,3,553,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 610","Kitchener",185,7,65,75,2,334,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 611","Kitchener",130,2,47,52,1,232,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 612","Kitchener",223,23,62,99,0,407,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 613","Kitchener",226,11,44,85,0,366,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 614","Kitchener",133,6,30,89,0,258,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 615","Kitchener",176,1,16,57,0,250,
35038,"Kitchener--Conestoga/Kitchener--Conestoga",,Group 1/Groupe 1,36,6,9,23,6,80,163
35038,"Kitchener--Conestoga/Kitchener--Conestoga",,Group 2/Groupe 2,243,6,59,144,1,453,
