Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Judi Falardeau,Philip Fernandez,Catherine Holliday,Ellen Michelson,Kevin Moore,Bob Rae,Susan Wallace,Bahman Yazdanfar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35093,Toronto Centre/Toronto-Centre,88,Toronto,4,1,2,15,33,104,120,0,0,279,415
35093,Toronto Centre/Toronto-Centre,89,Toronto,1,0,0,10,15,28,62,0,0,116,57
35093,Toronto Centre/Toronto-Centre,90,Toronto,Void/Supprimé,,,,,,,,,,
35093,Toronto Centre/Toronto-Centre,91,Toronto,0,0,0,8,17,14,54,0,2,95,158
35093,Toronto Centre/Toronto-Centre, 91-1,Toronto,4,1,0,19,66,142,90,0,1,323,603
35093,Toronto Centre/Toronto-Centre,92,Toronto,0,1,1,11,29,46,91,0,0,179,404
35093,Toronto Centre/Toronto-Centre,93,Toronto,0,0,1,4,15,39,52,0,0,111,229
35093,Toronto Centre/Toronto-Centre, 93-1,Toronto,2,0,1,4,31,50,85,2,1,176,486
35093,Toronto Centre/Toronto-Centre,94,Toronto,0,0,0,2,8,9,14,1,0,34,155
35093,Toronto Centre/Toronto-Centre,95,Toronto,0,0,0,11,17,43,95,0,2,168,371
35093,Toronto Centre/Toronto-Centre,96,Toronto,1,1,0,2,15,25,34,1,0,79,286
35093,Toronto Centre/Toronto-Centre,97,Toronto,1,1,0,4,17,24,48,0,0,95,259
35093,Toronto Centre/Toronto-Centre,98,Toronto,1,0,0,17,47,65,83,3,3,219,407
35093,Toronto Centre/Toronto-Centre,99,Toronto,0,0,1,17,18,38,53,0,0,127,278
35093,Toronto Centre/Toronto-Centre,100,Toronto,1,0,0,6,16,19,32,0,0,74,202
35093,Toronto Centre/Toronto-Centre,101,Toronto,3,0,1,5,36,47,96,0,1,189,416
35093,Toronto Centre/Toronto-Centre,102,Toronto,0,0,0,10,29,72,85,1,1,198,466
35093,Toronto Centre/Toronto-Centre,103,Toronto,0,0,0,6,23,37,68,0,0,134,324
35093,Toronto Centre/Toronto-Centre,104,Toronto,0,0,0,0,21,20,29,0,0,70,192
35093,Toronto Centre/Toronto-Centre, 104-1,Toronto,2,0,1,14,61,110,183,1,2,374,661
35093,Toronto Centre/Toronto-Centre, 105A,Toronto,6,0,0,5,35,80,97,1,1,225,424
35093,Toronto Centre/Toronto-Centre, 105B,Toronto,1,0,0,5,40,71,75,1,2,195,370
35093,Toronto Centre/Toronto-Centre, 106A,Toronto,0,0,0,13,54,90,49,0,0,206,411
35093,Toronto Centre/Toronto-Centre, 106B,Toronto,0,0,0,8,31,83,55,0,0,177,312
35093,Toronto Centre/Toronto-Centre,107,Toronto,0,0,0,2,43,52,23,0,0,120,248
35093,Toronto Centre/Toronto-Centre,108,Toronto,1,0,0,5,68,123,31,0,3,231,399
35093,Toronto Centre/Toronto-Centre,109,Toronto,0,0,0,17,93,126,57,0,0,293,570
35093,Toronto Centre/Toronto-Centre, 110A,Toronto,0,0,0,8,61,103,71,0,2,245,510
35093,Toronto Centre/Toronto-Centre, 110B,Toronto,0,1,1,16,60,91,64,0,0,233,407
35093,Toronto Centre/Toronto-Centre,111,Toronto,3,0,0,22,57,139,142,0,1,364,633
35093,Toronto Centre/Toronto-Centre,112,Toronto,1,0,2,7,11,48,31,0,0,100,153
35093,Toronto Centre/Toronto-Centre,113,Toronto,0,0,4,12,26,77,61,3,1,184,357
35093,Toronto Centre/Toronto-Centre,114,Toronto,3,0,0,27,16,98,102,0,0,246,374
35093,Toronto Centre/Toronto-Centre,115,Toronto,0,0,0,20,36,143,59,0,0,258,440
35093,Toronto Centre/Toronto-Centre,116,Toronto,2,4,4,6,16,107,117,3,1,260,609
35093,Toronto Centre/Toronto-Centre,117,Toronto,4,1,2,4,15,65,93,0,0,184,549
35093,Toronto Centre/Toronto-Centre,118,Toronto,4,2,2,2,19,74,122,2,4,231,375
35093,Toronto Centre/Toronto-Centre,119,Toronto,0,0,0,10,12,46,65,0,0,133,394
35093,Toronto Centre/Toronto-Centre,120,Toronto,0,3,2,12,34,83,88,0,0,222,389
35093,Toronto Centre/Toronto-Centre,121,Toronto,2,0,2,23,63,87,126,1,0,304,612
35093,Toronto Centre/Toronto-Centre,122,Toronto,2,3,2,1,14,50,55,0,1,128,237
35093,Toronto Centre/Toronto-Centre,123,Toronto,1,0,1,18,44,98,113,5,1,281,649
35093,Toronto Centre/Toronto-Centre,124,Toronto,1,0,2,4,15,50,64,1,1,138,443
35093,Toronto Centre/Toronto-Centre,125,Toronto,2,1,1,1,9,29,58,0,1,102,189
35093,Toronto Centre/Toronto-Centre,126,Toronto,1,0,1,18,16,37,107,0,0,180,260
35093,Toronto Centre/Toronto-Centre,127,Toronto,0,0,0,13,42,68,80,0,0,203,404
35093,Toronto Centre/Toronto-Centre, 128A,Toronto,1,0,1,7,78,93,93,0,1,274,488
35093,Toronto Centre/Toronto-Centre, 128B,Toronto,1,0,0,8,43,71,68,1,0,192,398
35093,Toronto Centre/Toronto-Centre, 128-1,Toronto,Merged with No. 128B/Fusionné avec le nº 128B,,,,,,,,,,4
35093,Toronto Centre/Toronto-Centre,129,Toronto,0,0,1,2,11,30,57,0,1,102,225
35093,Toronto Centre/Toronto-Centre,130,Toronto,5,0,0,2,20,36,65,0,1,129,311
35093,Toronto Centre/Toronto-Centre,131,Toronto,0,0,0,14,32,71,95,0,0,212,431
35093,Toronto Centre/Toronto-Centre,132,Toronto,0,0,0,9,36,67,110,0,2,224,427
35093,Toronto Centre/Toronto-Centre, 132-1,Toronto,0,0,0,5,11,19,65,0,0,100,178
35093,Toronto Centre/Toronto-Centre,133,Toronto,0,0,0,2,19,30,65,0,0,116,216
35093,Toronto Centre/Toronto-Centre, 133-1,Toronto,0,0,0,0,6,7,24,1,0,38,115
35093,Toronto Centre/Toronto-Centre,134,Toronto,0,0,0,2,10,22,17,0,0,51,107
35093,Toronto Centre/Toronto-Centre, 134-1,Toronto,0,0,0,10,19,38,71,0,0,138,224
35093,Toronto Centre/Toronto-Centre,135,Toronto,Void/Supprimé,,,,,,,,,,
35093,Toronto Centre/Toronto-Centre,136,Toronto,Void/Supprimé,,,,,,,,,,
35093,Toronto Centre/Toronto-Centre,137,Toronto,1,1,0,16,34,96,104,1,0,253,431
35093,Toronto Centre/Toronto-Centre,138,Toronto,2,0,1,15,56,64,98,1,1,238,450
35093,Toronto Centre/Toronto-Centre, 138-1,Toronto,Void/Supprimé,,,,,,,,,,
35093,Toronto Centre/Toronto-Centre,139,Toronto,Void/Supprimé,,,,,,,,,,
35093,Toronto Centre/Toronto-Centre, 140A,Toronto,1,1,1,16,44,82,87,1,0,233,448
35093,Toronto Centre/Toronto-Centre, 140B,Toronto,0,0,0,9,53,73,74,0,0,209,383
35093,Toronto Centre/Toronto-Centre,141,Toronto,3,0,1,20,43,113,103,1,1,285,470
35093,Toronto Centre/Toronto-Centre,400,Toronto,1,0,0,27,47,121,14,0,7,217,289
35093,Toronto Centre/Toronto-Centre,401,Toronto,0,0,1,4,36,58,12,0,3,114,48
35093,Toronto Centre/Toronto-Centre,402,Toronto,0,0,0,6,42,78,25,1,0,152,240
35093,Toronto Centre/Toronto-Centre,403,Toronto,1,0,1,3,42,78,32,0,0,157,198
35093,Toronto Centre/Toronto-Centre,404,Toronto,2,0,2,12,64,107,79,2,1,269,435
35093,Toronto Centre/Toronto-Centre,405,Toronto,1,0,0,3,26,29,54,0,0,113,255
35093,Toronto Centre/Toronto-Centre, 405-1,Toronto,0,0,0,4,7,15,21,0,1,48,149
35093,Toronto Centre/Toronto-Centre,406,Toronto,1,0,0,5,47,88,15,0,0,156,248
35093,Toronto Centre/Toronto-Centre,407,Toronto,1,0,0,10,19,42,59,0,2,133,304
35093,Toronto Centre/Toronto-Centre, 407-1,Toronto,2,0,0,7,15,40,49,1,0,114,238
35093,Toronto Centre/Toronto-Centre,408,Toronto,1,0,0,4,57,51,29,1,1,144,324
35093,Toronto Centre/Toronto-Centre,409,Toronto,1,1,1,3,20,59,85,1,0,171,347
35093,Toronto Centre/Toronto-Centre,410,Toronto,3,0,2,5,26,43,55,0,0,134,221
35093,Toronto Centre/Toronto-Centre,411,Toronto,1,0,0,9,55,59,70,0,3,197,351
35093,Toronto Centre/Toronto-Centre, 411-1,Toronto,Merged with No. 411/Fusionné avec le nº 411,,,,,,,,,,1
35093,Toronto Centre/Toronto-Centre,412,Toronto,2,0,4,7,48,52,58,1,4,176,334
35093,Toronto Centre/Toronto-Centre,413,Toronto,3,1,1,5,31,48,79,0,0,168,405
35093,Toronto Centre/Toronto-Centre,414,Toronto,1,0,0,3,39,42,25,2,1,113,253
35093,Toronto Centre/Toronto-Centre,415,Toronto,0,0,1,1,8,14,35,0,0,59,194
35093,Toronto Centre/Toronto-Centre,416,Toronto,5,3,1,3,34,62,65,3,0,176,330
35093,Toronto Centre/Toronto-Centre, 416-1,Toronto,3,1,0,6,26,52,57,1,1,147,290
35093,Toronto Centre/Toronto-Centre,417,Toronto,4,0,0,7,60,79,58,0,0,208,321
35093,Toronto Centre/Toronto-Centre,418,Toronto,Merged with No. 419/Fusionné avec le nº 419,,,,,,,,,,71
35093,Toronto Centre/Toronto-Centre,419,Toronto,2,1,1,7,22,52,69,0,1,155,308
35093,Toronto Centre/Toronto-Centre,420,Toronto,2,0,0,3,24,52,76,0,2,159,347
35093,Toronto Centre/Toronto-Centre, 420-1,Toronto,1,1,3,5,33,68,82,1,2,196,291
35093,Toronto Centre/Toronto-Centre,421,Toronto,Merged with No. 420-1/Fusionné avec le nº 420-1,,,,,,,,,,76
35093,Toronto Centre/Toronto-Centre,422,Toronto,4,1,2,2,28,52,76,1,0,166,391
35093,Toronto Centre/Toronto-Centre,423,Toronto,2,1,1,1,24,66,106,2,0,203,392
35093,Toronto Centre/Toronto-Centre,424,Toronto,2,0,0,8,36,49,61,1,0,157,306
35093,Toronto Centre/Toronto-Centre,425,Toronto,0,0,1,1,28,35,35,0,2,102,313
35093,Toronto Centre/Toronto-Centre, 425-1,Toronto,0,0,2,5,21,43,63,0,0,134,229
35093,Toronto Centre/Toronto-Centre,426,Toronto,0,0,1,13,62,102,62,0,0,240,354
35093,Toronto Centre/Toronto-Centre,427,Toronto,1,0,0,4,16,55,73,1,0,150,305
35093,Toronto Centre/Toronto-Centre, 427-1,Toronto,0,0,4,14,21,42,55,0,1,137,283
35093,Toronto Centre/Toronto-Centre,428,Toronto,0,0,0,1,35,55,31,1,0,123,230
35093,Toronto Centre/Toronto-Centre,429,Toronto,0,0,1,5,44,73,66,0,0,189,301
