Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paulina Ayala,Jean-Paul Bédard,Gaëtan Bérard,Valery Chevrefils-Latulippe,Gérard Labelle,Martin Laroche,Pablo Rodriguez,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24022,"Honoré-Mercier/Honoré-Mercier"," 142","Anjou",78,1,0,0,20,47,44,0,190,356
24022,"Honoré-Mercier/Honoré-Mercier"," 143","Anjou",61,1,1,0,12,31,34,5,145,333
24022,"Honoré-Mercier/Honoré-Mercier"," 144","Anjou",91,2,2,1,18,32,62,1,209,386
24022,"Honoré-Mercier/Honoré-Mercier"," 145","Anjou",64,2,2,1,19,42,72,4,206,354
24022,"Honoré-Mercier/Honoré-Mercier"," 146","Anjou",63,0,1,1,34,31,76,1,207,401
24022,"Honoré-Mercier/Honoré-Mercier"," 147","Anjou",68,0,2,0,22,28,99,0,219,337
24022,"Honoré-Mercier/Honoré-Mercier"," 148","Anjou",88,1,4,0,25,52,53,3,226,381
24022,"Honoré-Mercier/Honoré-Mercier"," 149","Montréal",84,2,3,0,10,53,28,1,181,350
24022,"Honoré-Mercier/Honoré-Mercier"," 150","Montréal",66,2,4,4,18,51,34,0,179,351
24022,"Honoré-Mercier/Honoré-Mercier"," 151","Montréal",38,3,2,0,11,23,21,1,99,292
24022,"Honoré-Mercier/Honoré-Mercier"," 152","Montréal",90,1,4,3,13,76,35,4,226,396
24022,"Honoré-Mercier/Honoré-Mercier"," 153","Montréal",110,1,5,0,14,63,40,4,237,406
24022,"Honoré-Mercier/Honoré-Mercier"," 154","Anjou",73,0,6,3,18,55,27,2,184,307
24022,"Honoré-Mercier/Honoré-Mercier"," 155","Anjou",101,0,4,0,12,46,45,0,208,340
24022,"Honoré-Mercier/Honoré-Mercier"," 156","Anjou",62,1,1,1,15,51,43,2,176,323
24022,"Honoré-Mercier/Honoré-Mercier"," 157","Anjou",83,0,2,0,10,49,47,1,192,387
24022,"Honoré-Mercier/Honoré-Mercier"," 158","Montréal",97,0,5,1,12,72,18,3,208,410
24022,"Honoré-Mercier/Honoré-Mercier"," 159","Montréal",45,1,0,1,14,27,18,0,106,248
24022,"Honoré-Mercier/Honoré-Mercier"," 160","Montréal",56,0,0,2,9,51,28,0,146,245
24022,"Honoré-Mercier/Honoré-Mercier"," 161","Montréal",66,0,3,0,22,43,33,1,168,277
24022,"Honoré-Mercier/Honoré-Mercier"," 162","Montréal",131,0,10,0,22,98,55,1,317,563
24022,"Honoré-Mercier/Honoré-Mercier"," 163","Montréal",108,0,3,0,26,56,58,3,254,457
24022,"Honoré-Mercier/Honoré-Mercier"," 164","Anjou",48,1,4,0,8,36,20,1,118,261
24022,"Honoré-Mercier/Honoré-Mercier"," 164-1A","Anjou",62,0,3,0,25,29,30,1,150,333
24022,"Honoré-Mercier/Honoré-Mercier"," 164-1B","Anjou",63,0,2,2,23,29,44,2,165,355
24022,"Honoré-Mercier/Honoré-Mercier"," 165","Anjou",73,1,2,0,21,30,47,2,176,335
24022,"Honoré-Mercier/Honoré-Mercier"," 166","Anjou",71,2,1,1,25,44,35,3,182,321
24022,"Honoré-Mercier/Honoré-Mercier"," 167","Anjou",80,5,0,0,24,40,40,0,189,368
24022,"Honoré-Mercier/Honoré-Mercier"," 168","Montréal",54,0,1,0,14,34,32,3,138,429
24022,"Honoré-Mercier/Honoré-Mercier"," 168-1","Montréal",Void/Supprimé,,,,,,,,,
24022,"Honoré-Mercier/Honoré-Mercier"," 169","Montréal",76,1,0,4,20,51,43,0,195,383
24022,"Honoré-Mercier/Honoré-Mercier"," 170","Anjou",88,0,6,1,15,37,48,0,195,358
24022,"Honoré-Mercier/Honoré-Mercier"," 171","Anjou",74,0,3,1,25,39,52,2,196,361
24022,"Honoré-Mercier/Honoré-Mercier"," 172","Anjou",78,0,1,0,19,24,37,3,162,280
24022,"Honoré-Mercier/Honoré-Mercier"," 173","Anjou",101,5,1,3,19,38,52,5,224,465
24022,"Honoré-Mercier/Honoré-Mercier"," 174","Anjou",92,0,1,0,22,26,35,0,176,317
24022,"Honoré-Mercier/Honoré-Mercier"," 175","Anjou",68,0,0,1,26,42,46,5,188,374
24022,"Honoré-Mercier/Honoré-Mercier"," 176","Anjou",33,0,2,0,14,28,21,0,98,203
24022,"Honoré-Mercier/Honoré-Mercier"," 177","Anjou",86,0,2,1,53,42,58,7,249,500
24022,"Honoré-Mercier/Honoré-Mercier"," 177-1","Anjou",Void/Supprimé,,,,,,,,,
24022,"Honoré-Mercier/Honoré-Mercier"," 178","Anjou",90,0,2,0,33,33,71,3,232,577
24022,"Honoré-Mercier/Honoré-Mercier"," 178-1","Anjou",95,0,4,0,46,34,75,1,255,516
24022,"Honoré-Mercier/Honoré-Mercier"," 179","Anjou",62,0,0,0,34,44,40,2,182,371
24022,"Honoré-Mercier/Honoré-Mercier"," 180","Anjou",97,0,3,0,19,56,56,2,233,352
24022,"Honoré-Mercier/Honoré-Mercier"," 181","Anjou",123,1,2,1,25,63,59,3,277,415
24022,"Honoré-Mercier/Honoré-Mercier"," 182","Montréal",66,0,2,0,12,44,25,3,152,423
24022,"Honoré-Mercier/Honoré-Mercier"," 183","Montréal",54,1,2,1,28,18,81,1,186,410
24022,"Honoré-Mercier/Honoré-Mercier"," 184","Montréal",57,1,0,1,22,28,40,2,151,321
24022,"Honoré-Mercier/Honoré-Mercier"," 185","Montréal",63,0,0,0,28,35,39,0,165,358
24022,"Honoré-Mercier/Honoré-Mercier"," 186","Montréal",40,1,0,1,26,16,32,0,116,254
24022,"Honoré-Mercier/Honoré-Mercier"," 187","Montréal",48,0,3,0,28,12,48,4,143,322
24022,"Honoré-Mercier/Honoré-Mercier"," 188","Montréal",47,1,2,1,18,22,37,0,128,273
24022,"Honoré-Mercier/Honoré-Mercier"," 189","Montréal",45,0,8,1,13,35,45,3,150,400
24022,"Honoré-Mercier/Honoré-Mercier"," 190","Montréal",30,0,4,2,22,11,41,1,111,216
24022,"Honoré-Mercier/Honoré-Mercier"," 191","Montréal",110,0,5,1,22,69,41,0,248,496
24022,"Honoré-Mercier/Honoré-Mercier"," 192","Montréal",106,0,3,0,20,76,53,2,260,411
24022,"Honoré-Mercier/Honoré-Mercier"," 193","Montréal",98,3,4,0,22,53,53,1,234,376
24022,"Honoré-Mercier/Honoré-Mercier"," 194","Montréal",93,1,1,2,8,48,48,1,202,350
24022,"Honoré-Mercier/Honoré-Mercier"," 195","Montréal",86,0,2,0,19,49,35,1,192,323
24022,"Honoré-Mercier/Honoré-Mercier"," 196","Montréal",102,0,2,1,31,50,46,1,233,349
24022,"Honoré-Mercier/Honoré-Mercier"," 197","Montréal",79,1,4,0,18,59,40,3,204,336
24022,"Honoré-Mercier/Honoré-Mercier"," 198","Montréal",111,1,5,2,28,82,48,4,281,443
24022,"Honoré-Mercier/Honoré-Mercier"," 199","Montréal",96,0,4,3,24,62,46,3,238,390
24022,"Honoré-Mercier/Honoré-Mercier"," 200","Montréal",83,0,7,0,16,54,39,3,202,295
24022,"Honoré-Mercier/Honoré-Mercier"," 400","Montréal",34,1,2,2,14,24,30,2,109,171
24022,"Honoré-Mercier/Honoré-Mercier"," 401","Anjou",44,0,1,0,21,21,46,3,136,169
24022,"Honoré-Mercier/Honoré-Mercier"," 402","Anjou",37,0,0,0,16,10,26,1,90,207
24022,"Honoré-Mercier/Honoré-Mercier"," 403","Anjou",54,2,3,0,25,36,58,6,184,337
24022,"Honoré-Mercier/Honoré-Mercier"," 404","Anjou",9,2,3,0,7,6,13,5,45,102
24022,"Honoré-Mercier/Honoré-Mercier"," 500","Mobile poll/Bureau itinérant",6,2,2,0,10,8,21,1,50,113
24022,"Honoré-Mercier/Honoré-Mercier"," 501","Mobile poll/Bureau itinérant",25,1,2,1,15,27,23,5,99,257
24022,"Honoré-Mercier/Honoré-Mercier"," 502","Mobile poll/Bureau itinérant",35,2,7,3,18,27,56,1,149,189
24022,"Honoré-Mercier/Honoré-Mercier"," 503","Mobile poll/Bureau itinérant",36,6,5,1,30,27,57,5,167,206
24022,"Honoré-Mercier/Honoré-Mercier"," 600","Montréal",133,0,6,0,47,103,97,1,387,
24022,"Honoré-Mercier/Honoré-Mercier"," 601","Montréal",104,0,4,0,33,57,162,7,367,
24022,"Honoré-Mercier/Honoré-Mercier"," 602","Montréal",96,2,8,1,39,53,176,5,380,
24022,"Honoré-Mercier/Honoré-Mercier"," 603","Montréal",117,3,6,2,101,43,251,10,533,
24022,"Honoré-Mercier/Honoré-Mercier"," 604","Montréal",155,1,8,1,94,85,306,8,658,
24022,"Honoré-Mercier/Honoré-Mercier"," 605","Anjou",121,0,1,1,35,114,110,3,385,
24022,"Honoré-Mercier/Honoré-Mercier"," 606","Anjou",162,0,7,2,67,128,191,5,562,
24022,"Honoré-Mercier/Honoré-Mercier"," 607","Anjou",157,0,3,1,27,168,139,3,498,
24022,"Honoré-Mercier/Honoré-Mercier"," 608","Montréal--Anjou",151,1,3,1,39,191,139,5,530,
24022,"Honoré-Mercier/Honoré-Mercier"," 609","Montréal",176,0,4,1,96,119,207,6,609,
24022,"Honoré-Mercier/Honoré-Mercier"," 610","Anjou",230,3,9,0,106,184,273,6,811,
24022,"Honoré-Mercier/Honoré-Mercier"," 611","Montréal--Anjou",241,3,4,2,130,135,257,10,782,
24022,"Honoré-Mercier/Honoré-Mercier"," 612","Montréal--Anjou",113,1,5,2,43,107,101,3,375,
24022,"Honoré-Mercier/Honoré-Mercier",,Group 1/Groupe 1,16,0,1,0,19,17,25,7,85,144
24022,"Honoré-Mercier/Honoré-Mercier",,Group 2/Groupe 2,73,0,12,0,58,100,185,13,441,
