Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Beals,Alicia Gordon,Ted Hsu,Eric Walton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35036,"Kingston and the Islands/Kingston et les Îles"," 189","Kingston",23,16,38,4,0,81,241
35036,"Kingston and the Islands/Kingston et les Îles"," 190","Kingston",44,27,100,9,2,182,405
35036,"Kingston and the Islands/Kingston et les Îles"," 191","Kingston",31,54,169,19,1,274,420
35036,"Kingston and the Islands/Kingston et les Îles"," 192","Kingston",26,37,146,15,0,224,386
35036,"Kingston and the Islands/Kingston et les Îles"," 193","Kingston",28,51,147,10,0,236,397
35036,"Kingston and the Islands/Kingston et les Îles"," 194","Kingston",30,31,91,9,0,161,223
35036,"Kingston and the Islands/Kingston et les Îles"," 195","Kingston",23,19,84,11,3,140,357
35036,"Kingston and the Islands/Kingston et les Îles"," 196","Kingston",Merged with No. 194/Fusionné avec le nº 194,,,,,,157
35036,"Kingston and the Islands/Kingston et les Îles"," 196-1","Kingston",11,12,48,7,0,78,293
35036,"Kingston and the Islands/Kingston et les Îles"," 197","Kingston",Merged with No. 402/Fusionné avec le nº 402,,,,,,201
35036,"Kingston and the Islands/Kingston et les Îles"," 197-1","Kingston",14,9,31,5,0,59,228
35036,"Kingston and the Islands/Kingston et les Îles"," 198","Kingston",30,18,75,9,0,132,265
35036,"Kingston and the Islands/Kingston et les Îles"," 199","Kingston",45,29,122,20,3,219,402
35036,"Kingston and the Islands/Kingston et les Îles"," 200","Kingston",22,72,114,4,1,213,340
35036,"Kingston and the Islands/Kingston et les Îles"," 201","Kingston",46,47,116,7,1,217,466
35036,"Kingston and the Islands/Kingston et les Îles"," 202","Kingston",38,41,124,7,0,210,439
35036,"Kingston and the Islands/Kingston et les Îles"," 203","Kingston",50,29,133,8,1,221,427
35036,"Kingston and the Islands/Kingston et les Îles"," 204","Kingston",Void/Supprimé,,,,,,
