Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Élise Gauthier,Denis Lemieux,Dany Morin,Caroline Ste-Marie,Dany St-Gelais,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 601","Saguenay",119,148,143,114,13,6,543,
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 602","Saguenay",139,202,233,93,21,9,697,
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 603","Saguenay",108,166,224,173,9,11,691,
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 604","Saguenay",115,159,184,128,9,7,602,
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 605","Saguenay",157,342,246,204,15,8,972,
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 606","Saguenay",118,180,206,93,19,8,624,
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 607","Saguenay",135,129,170,112,8,11,565,
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 608","Saguenay",101,122,194,112,8,4,541,
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 609","Saguenay",110,129,130,102,5,8,484,
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 610","Saguenay",144,193,199,148,11,9,704,
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 611","Saguenay",89,105,111,65,4,3,377,
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 612","Saint-Félix-d'Otis",36,68,83,42,6,2,237,
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord",,"Group 1/Groupe 1",26,89,83,273,11,8,490,66
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord",,"Group 2/Groupe 2",257,228,339,154,31,31,1040,
