Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevin Brandt,Rob Ferguson,Marc Laferriere,Phil McColeman,Danielle Takacs,The Engineer Turmel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35013,"Brantford--Brant/Brantford--Brant"," 505","Mobile poll/Bureau itinérant",7,3,10,32,22,0,0,74,214
35013,"Brantford--Brant/Brantford--Brant"," 506","Mobile poll/Bureau itinérant",0,2,21,64,35,3,0,125,197
35013,"Brantford--Brant/Brantford--Brant"," 600","Brant",25,2,187,347,274,0,2,837,
35013,"Brantford--Brant/Brantford--Brant"," 601","Brant",20,5,150,476,235,0,3,889,
35013,"Brantford--Brant/Brantford--Brant"," 602","Brant",11,3,109,367,166,2,3,661,
35013,"Brantford--Brant/Brantford--Brant"," 603","Brantford",9,1,210,350,250,3,0,823,
35013,"Brantford--Brant/Brantford--Brant"," 604","Brantford",11,1,130,320,231,0,1,694,
35013,"Brantford--Brant/Brantford--Brant"," 605","Brantford",12,5,161,443,247,1,4,873,
35013,"Brantford--Brant/Brantford--Brant"," 606","Brantford",11,3,188,313,228,4,5,752,
35013,"Brantford--Brant/Brantford--Brant"," 607","Brantford",14,5,145,320,203,0,6,693,
35013,"Brantford--Brant/Brantford--Brant"," 608","Brantford",19,4,132,299,210,1,5,670,
35013,"Brantford--Brant/Brantford--Brant"," 609","Brantford",14,2,135,195,162,1,2,511,
35013,"Brantford--Brant/Brantford--Brant"," 610","Brantford",24,2,238,168,132,3,3,570,
35013,"Brantford--Brant/Brantford--Brant"," 611","Brantford",10,3,227,315,212,1,1,769,
35013,"Brantford--Brant/Brantford--Brant"," 612","Brantford",8,3,160,156,114,0,1,442,
35013,"Brantford--Brant/Brantford--Brant"," 613","Brantford",9,5,182,299,204,0,3,702,
35013,"Brantford--Brant/Brantford--Brant"," 614","Brant",16,10,107,406,208,1,2,750,
35013,"Brantford--Brant/Brantford--Brant"," 615","Six Nations--New Credit",2,0,51,9,58,0,0,120,
35013,"Brantford--Brant/Brantford--Brant",,"Group 1/Groupe 1",5,6,39,57,79,1,8,195,132
35013,"Brantford--Brant/Brantford--Brant",,"Group 2/Groupe 2",46,10,385,529,442,9,11,1432,
