Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Abdul Abdi,Mark Brooks,Sam Heaton,Marlene Rivier,Rod Taylor,Anita Vandenbeld,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 149","Nepean",73,12,2,12,2,115,1,217,382
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 150","Nepean",55,7,0,17,4,135,1,219,459
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 151","Nepean",61,6,0,20,0,104,0,191,392
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 152","Nepean",50,5,1,36,3,105,0,200,496
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 153","Nepean",19,4,0,8,0,97,1,129,265
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 154","Nepean",85,8,0,56,2,228,2,381,816
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 155","Nepean",45,6,1,33,0,254,4,343,605
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 156","Nepean",91,8,1,39,2,225,2,368,697
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 157","Nepean",83,6,1,21,1,144,1,257,466
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 158","Nepean",64,10,1,16,4,129,0,224,430
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 159","Nepean",97,10,0,11,6,132,1,257,410
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 160","Ottawa",81,8,0,28,2,117,1,237,473
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 161","Ottawa",51,7,1,37,1,117,0,214,445
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 162","Ottawa",36,3,0,26,0,120,0,185,452
