Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charlie Angus,John P. Curley,Max Kennedy,Todd Lever,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35107,"Timmins--James Bay/Timmins--Baie James"," 117","Star--Kamiskotia Lake",102,53,8,107,1,271,626
35107,"Timmins--James Bay/Timmins--Baie James"," 118","Matachewan",89,31,0,64,0,184,259
35107,"Timmins--James Bay/Timmins--Baie James"," 119","The Cache",10,8,1,16,0,35,80
35107,"Timmins--James Bay/Timmins--Baie James"," 120","Ramore",79,33,8,54,0,174,266
35107,"Timmins--James Bay/Timmins--Baie James"," 121","Holtyre",39,12,0,20,0,71,137
35107,"Timmins--James Bay/Timmins--Baie James"," 122","Sesekinika",46,27,4,26,1,104,185
35107,"Timmins--James Bay/Timmins--Baie James"," 123A","Kirkland Lake",65,38,4,33,0,140,348
35107,"Timmins--James Bay/Timmins--Baie James"," 123B","Kirkland Lake",Merged with No./Fusionné avec le n°126,,,,,,146
35107,"Timmins--James Bay/Timmins--Baie James"," 124","Dobie",120,28,5,35,1,189,346
35107,"Timmins--James Bay/Timmins--Baie James"," 125","Kirkland Lake",119,37,2,72,0,230,455
