Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bob D'Eith,Mike Murray,Steve Ranta,Dan Ruimy,Peter Tam,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 79","Maple Ridge",79,51,6,93,18,0,247,404
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 80","Maple Ridge",64,74,1,79,17,0,235,428
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 81","Maple Ridge",61,42,2,68,18,0,191,429
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 82","Maple Ridge",75,30,0,65,15,0,185,443
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 83","Maple Ridge",93,46,1,100,15,1,256,523
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 84","Maple Ridge",66,43,0,80,6,1,196,325
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 85","Maple Ridge",90,74,3,112,16,0,295,482
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 86","Maple Ridge",59,42,0,90,9,0,200,377
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 87","Maple Ridge",62,54,2,85,4,0,207,415
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 88","Maple Ridge",72,62,3,71,9,2,219,359
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 89","Maple Ridge",73,88,2,102,15,1,281,464
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 90","Maple Ridge",76,74,2,86,13,0,251,441
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 91","Maple Ridge",83,55,2,71,10,0,221,431
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 92","Maple Ridge",56,88,2,64,12,0,222,417
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 93","Maple Ridge",66,45,1,73,10,1,196,401
