Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Braid,Bardish Chagger,Diane Freeman,Emma Hawley-Yan,Richard Walsh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35112,"Waterloo/Waterloo"," 66A","Waterloo",57,92,14,2,4,0,169,250
35112,"Waterloo/Waterloo"," 66B","Waterloo",46,71,18,0,5,0,140,254
35112,"Waterloo/Waterloo"," 67","Waterloo",121,94,19,0,3,1,238,382
35112,"Waterloo/Waterloo"," 68","Waterloo",102,129,33,0,7,0,271,468
35112,"Waterloo/Waterloo"," 69","Waterloo",76,129,49,1,8,1,264,433
35112,"Waterloo/Waterloo"," 70","Waterloo",81,138,52,0,7,0,278,479
35112,"Waterloo/Waterloo"," 71","Waterloo",88,85,64,0,10,4,251,409
35112,"Waterloo/Waterloo"," 72","Waterloo",93,126,58,0,12,1,290,459
35112,"Waterloo/Waterloo"," 73","Waterloo",79,81,21,1,11,0,193,303
35112,"Waterloo/Waterloo"," 74","Waterloo",58,102,51,1,6,2,220,370
35112,"Waterloo/Waterloo"," 75","Waterloo",60,112,66,1,8,3,250,488
35112,"Waterloo/Waterloo"," 76","Waterloo",80,122,59,1,13,0,275,444
35112,"Waterloo/Waterloo"," 77","Waterloo",94,112,52,1,5,0,264,455
