Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Elaine Marie Hughes,Brooke Taylor Malinoski,Doug Ottenbreit,Cathay Wagantall,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47014,"Yorkton--Melville /Yorkton--Melville "," 53","Pelly",5,31,35,126,0,197,380
47014,"Yorkton--Melville /Yorkton--Melville "," 54","Keeseekoose 66",2,42,155,2,1,202,294
47014,"Yorkton--Melville /Yorkton--Melville "," 55","Veregin",2,17,27,79,0,125,222
47014,"Yorkton--Melville /Yorkton--Melville "," 56","Hyas",2,15,25,71,0,113,244
47014,"Yorkton--Melville /Yorkton--Melville "," 57","Sturgis",2,13,38,52,0,105,197
47014,"Yorkton--Melville /Yorkton--Melville "," 58","Sturgis",6,22,40,103,0,171,303
47014,"Yorkton--Melville /Yorkton--Melville "," 59","Sturgis",6,22,20,125,1,174,305
47014,"Yorkton--Melville /Yorkton--Melville "," 60","Preeceville",11,15,25,85,0,136,390
47014,"Yorkton--Melville /Yorkton--Melville "," 61","Preeceville",1,19,20,60,1,101,204
47014,"Yorkton--Melville /Yorkton--Melville "," 62","Preeceville",1,13,28,61,0,103,288
47014,"Yorkton--Melville /Yorkton--Melville "," 63","Preeceville",4,18,23,81,0,126,241
47014,"Yorkton--Melville /Yorkton--Melville "," 64","Hazel Dell",5,11,10,107,0,133,247
47014,"Yorkton--Melville /Yorkton--Melville "," 65","Invermay",2,5,14,66,1,88,117
47014,"Yorkton--Melville /Yorkton--Melville "," 66","Invermay",6,19,14,93,1,133,206
47014,"Yorkton--Melville /Yorkton--Melville "," 67","Margo",2,10,7,113,0,132,188
47014,"Yorkton--Melville /Yorkton--Melville "," 68","Kuroki",4,19,19,96,0,138,234
47014,"Yorkton--Melville /Yorkton--Melville "," 69","Fishing Lake 89",2,91,101,3,1,198,240
47014,"Yorkton--Melville /Yorkton--Melville "," 70","Foam Lake",5,27,17,149,1,199,317
47014,"Yorkton--Melville /Yorkton--Melville "," 71","Foam Lake",8,16,23,87,0,134,248
47014,"Yorkton--Melville /Yorkton--Melville "," 72","Foam Lake",6,22,24,78,0,130,238
47014,"Yorkton--Melville /Yorkton--Melville "," 73","Foam Lake",4,11,22,131,0,168,423
47014,"Yorkton--Melville /Yorkton--Melville "," 74","Foam Lake",4,6,8,69,0,87,157
47014,"Yorkton--Melville /Yorkton--Melville "," 75","Sheho",6,32,21,88,0,147,247
47014,"Yorkton--Melville /Yorkton--Melville "," 76","Rama",5,18,16,83,0,122,181
47014,"Yorkton--Melville /Yorkton--Melville "," 77","Buchanan",11,35,37,138,0,221,374
47014,"Yorkton--Melville /Yorkton--Melville "," 78","Canora",1,16,21,72,0,110,234
