Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stella Ambler,Ariana Burgener,Eric Guerbilsky,Sven Spengemann,Dagmar Sullivan,Paul Woodworth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 156A","Mississauga",69,4,36,97,0,0,1,207,473
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 156B","Mississauga",40,7,13,67,0,2,3,132,310
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 157","Mississauga",106,9,21,103,1,1,0,241,442
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 158","Mississauga",74,6,28,109,1,2,0,220,437
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 159","Mississauga",88,2,14,58,1,1,0,164,309
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 160","Mississauga",53,2,14,99,0,3,3,174,330
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 161","Mississauga",61,4,16,87,1,2,2,173,379
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 162","Mississauga",106,6,40,112,0,0,0,264,445
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 163","Mississauga",67,2,19,56,0,1,3,148,265
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 164","Mississauga",73,3,18,85,0,2,0,181,424
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 165","Mississauga",39,0,17,52,0,0,1,109,308
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 166A","Mississauga",43,3,20,39,0,1,1,107,287
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 166B","Mississauga",28,2,13,39,0,0,1,83,233
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 167","Mississauga",Void/Supprimé,,,,,,,,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 168","Mississauga",99,3,7,52,3,0,0,164,350
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 169","Mississauga",124,5,13,75,0,1,0,218,401
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 170","Mississauga",90,3,8,103,0,0,2,206,378
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 171","Mississauga",68,8,15,101,0,1,1,194,442
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 172","Mississauga",61,15,17,114,0,0,2,209,416
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 173","Mississauga",68,3,13,80,0,1,2,167,378
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 174","Mississauga",79,10,10,102,0,2,1,204,366
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 175","Mississauga",82,5,4,82,0,3,0,176,347
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 176","Mississauga",89,5,7,81,0,0,0,182,329
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 177","Mississauga",110,5,3,80,0,1,0,199,370
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 178","Mississauga",65,4,3,86,0,1,0,159,311
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 179","Mississauga",70,10,28,108,2,5,2,225,476
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 180","Mississauga",48,4,11,83,0,4,1,151,338
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 181A","Mississauga",40,1,15,103,0,1,0,160,267
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 181B","Mississauga",40,7,9,70,0,0,1,127,253
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 182","Mississauga",88,7,22,68,0,1,0,186,327
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 183","Mississauga",81,10,28,95,1,0,1,216,442
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 184","Mississauga",Void/Supprimé,,,,,,,,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 185","Mississauga",60,5,23,105,0,2,0,195,378
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 186A","Mississauga",33,4,16,60,1,1,1,116,235
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 186B","Mississauga",57,5,14,57,0,2,0,135,269
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 187","Mississauga",123,3,14,115,0,0,1,256,429
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 188","Mississauga",121,7,10,97,0,0,0,235,462
