Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Betty Bannon,Mike Bossio,Daryl Kramp,Cam Mather,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 133","Greater Napanee",20,84,82,6,0,192,371
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 134","Greater Napanee",30,117,101,6,0,254,468
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 135","Greater Napanee",29,118,109,8,1,265,529
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 136","Greater Napanee",18,85,105,1,0,209,410
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 137","Greater Napanee",31,133,76,16,0,256,498
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 138","Greater Napanee",39,103,99,5,0,246,463
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 139","Greater Napanee",22,115,91,9,0,237,439
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 140","Greater Napanee",27,86,60,8,1,182,414
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 141","Greater Napanee",31,90,52,5,1,179,415
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 142","Greater Napanee",49,112,89,7,5,262,483
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 143","Greater Napanee",22,59,54,4,0,139,272
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 144","Greater Napanee",20,84,114,0,1,219,451
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 145","Greater Napanee",35,89,113,17,3,257,529
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 146","Greater Napanee",12,76,35,6,0,129,356
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 147","Greater Napanee",22,71,51,5,0,149,331
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 148","Greater Napanee",17,77,37,6,0,137,309
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 149","Greater Napanee",42,74,47,2,2,167,396
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 150","Greater Napanee",21,129,73,7,1,231,407
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 151","Greater Napanee",25,129,118,12,0,284,516
