Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jenn Brown,Tyler John Colbourne,Judy M. Foote,Mike Windsor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 27","Duntara--Keels",4,0,38,2,0,44,82
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 28","Upper Amherst Cove--Middle Amherst Cove",7,1,89,8,0,105,205
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 29","Bonavista",11,1,89,12,0,113,283
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 30","Bonavista",7,1,79,7,1,95,254
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 31","Bonavista",11,1,104,11,0,127,340
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 32","Bonavista",7,1,57,13,1,79,305
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 33","Bonavista",11,2,146,34,4,197,504
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 34","Elliston",5,1,106,12,0,124,263
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 35","Little Catalina",9,2,162,9,0,182,361
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 36","Catalina",5,2,145,18,1,171,373
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 37","Catalina",7,0,129,24,0,160,344
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 38","Port Union",5,2,136,16,0,159,308
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 39","Melrose",8,1,86,17,0,112,195
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 40","King's Cove",14,0,59,11,0,84,172
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 41","English Harbour--Champney's East",7,0,26,15,0,48,76
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 42","Champney's West--Champney's Arm",8,0,50,2,0,60,93
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 43","Trinity East",25,4,147,8,1,185,338
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 44","Plate Cove West--Plate Cove East",19,1,126,36,1,183,377
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 45","Trinity--Lockston",7,3,56,8,2,76,141
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 46","Goose Cove--Dunfield",16,0,64,6,0,86,127
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 47","Old Bonaventure--New Bonaventure--Trouty",6,0,51,7,0,64,107
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 48","Grates Cove",10,2,60,7,0,79,125
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 49","Bay de Verde",19,0,141,4,0,164,320
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 50","Bay de Verde",9,1,63,2,0,75,124
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 51","Old Perlican",9,1,158,6,0,174,364
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 52","Old Perlican",8,2,70,3,0,83,162
