Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marc Boudreau,Vincent François,Jennifer Kaszel,Jamie Nicholls,Peter Schiefke,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 122A","Vaudreuil-Dorion",11,6,3,32,87,1,140,281
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 122B","Vaudreuil-Dorion",29,17,2,25,89,0,162,307
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 123A","Vaudreuil-Dorion",38,13,5,31,113,1,201,357
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 123B","Vaudreuil-Dorion",28,18,4,43,124,1,218,377
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 124","Vaudreuil-Dorion",27,17,3,39,141,0,227,487
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 125","Vaudreuil-Dorion",41,23,4,44,161,2,275,494
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 126","Vaudreuil-Dorion",39,24,3,60,115,2,243,428
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 127A","Vaudreuil-Dorion",27,17,3,23,96,2,168,278
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 127B","Vaudreuil-Dorion",13,12,1,21,77,0,124,254
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 128A","Vaudreuil-Dorion",29,17,4,39,96,3,188,343
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 128B","Vaudreuil-Dorion",26,19,3,42,107,1,198,349
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 129","Vaudreuil-Dorion",24,23,1,41,161,1,251,465
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 130A","Vaudreuil-Dorion",12,15,0,25,108,1,161,313
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 130B","Vaudreuil-Dorion",16,13,3,32,82,1,147,298
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 131A","Vaudreuil-Dorion",17,26,2,21,62,1,129,284
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 131B","Vaudreuil-Dorion",18,22,0,31,79,3,153,300
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 132","Saint-Lazare",58,40,1,43,129,1,272,507
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 133","Saint-Lazare",60,12,1,35,156,0,264,451
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 134A","Saint-Lazare",40,12,3,42,82,1,180,301
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 134B","Saint-Lazare",21,11,2,31,87,0,152,269
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 135","Saint-Lazare",58,32,8,54,111,1,264,460
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 136","Saint-Lazare",18,33,3,64,121,3,242,413
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 137","Saint-Lazare",41,48,7,60,166,1,323,527
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 138","Saint-Lazare",29,43,4,72,143,8,299,478
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 139","Saint-Lazare",26,35,6,71,111,3,252,425
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 140","Saint-Lazare",32,29,9,57,114,1,242,432
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 141","Saint-Lazare",21,40,6,52,89,3,211,427
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 142","Saint-Lazare",40,44,10,61,154,2,311,504
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 143","Saint-Lazare",31,48,3,62,103,3,250,438
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 144","Saint-Lazare",38,54,6,55,114,2,269,465
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 145","Saint-Lazare",33,59,8,51,134,2,287,497
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 146","Saint-Lazare",30,48,1,51,100,1,231,427
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 147","Saint-Lazare",28,29,7,52,102,5,223,358
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 148","Saint-Lazare",36,13,2,32,172,0,255,398
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 149","Saint-Lazare",34,6,1,30,143,0,214,376
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 150","Saint-Lazare",41,11,5,41,144,0,242,428
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 151","Saint-Lazare",57,2,5,41,135,1,241,417
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 152","Saint-Lazare",34,8,2,49,149,1,243,416
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 153","Saint-Lazare",43,11,5,41,140,2,242,440
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 154","Saint-Lazare",45,6,3,32,140,0,226,412
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 155","Saint-Lazare",58,24,7,73,151,1,314,494
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 156","Saint-Lazare",31,16,5,53,130,1,236,448
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 157","Saint-Lazare",27,31,7,69,151,0,285,491
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 158","Saint-Lazare",36,34,9,82,155,4,320,492
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 159","Saint-Lazare",34,19,4,43,140,0,240,431
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 160","Saint-Lazare",27,28,6,35,130,0,226,365
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 161","Saint-Lazare",33,14,11,44,131,0,233,423
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 162","Saint-Lazare",28,12,5,40,118,1,204,397
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 163","Saint-Lazare",25,43,5,65,121,1,260,444
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 164","Saint-Lazare",25,33,11,39,90,2,200,307
