Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Payam Azad,Claire Martin,Andrew Saxton,Carleen Thomas,Jonathan Wilkinson,Ismet Yetisen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59021,"North Vancouver/North Vancouver"," 177B","North Vancouver",0,13,39,15,138,0,1,206,355
59021,"North Vancouver/North Vancouver"," 178","North Vancouver",0,18,31,13,109,0,1,172,324
59021,"North Vancouver/North Vancouver"," 179","North Vancouver",1,17,60,18,162,0,1,259,542
59021,"North Vancouver/North Vancouver"," 180","North Vancouver",0,25,37,20,115,0,0,197,417
59021,"North Vancouver/North Vancouver"," 181","North Vancouver",0,18,73,15,151,1,0,258,536
59021,"North Vancouver/North Vancouver"," 182","North Vancouver",0,27,54,41,161,0,1,284,601
59021,"North Vancouver/North Vancouver"," 183","North Vancouver",0,13,29,27,109,1,2,181,349
59021,"North Vancouver/North Vancouver"," 184","North Vancouver",0,16,28,29,85,2,0,160,361
59021,"North Vancouver/North Vancouver"," 185","North Vancouver",0,17,57,14,181,3,0,272,594
59021,"North Vancouver/North Vancouver"," 186","North Vancouver",0,14,80,23,123,0,0,240,464
59021,"North Vancouver/North Vancouver"," 400","North Vancouver",5,11,47,23,54,2,1,143,183
59021,"North Vancouver/North Vancouver"," 500","Mobile poll/Bureau itinérant",0,13,55,17,40,2,6,133,224
59021,"North Vancouver/North Vancouver"," 600","North Vancouver",0,72,423,56,712,4,2,1269,
59021,"North Vancouver/North Vancouver"," 601","North Vancouver",0,70,344,41,541,3,2,1001,
59021,"North Vancouver/North Vancouver"," 602","North Vancouver",0,67,221,94,569,1,4,956,
59021,"North Vancouver/North Vancouver"," 603","North Vancouver",0,86,282,92,673,3,6,1142,
59021,"North Vancouver/North Vancouver"," 604","North Vancouver",0,110,409,73,720,0,3,1315,
59021,"North Vancouver/North Vancouver"," 605","North Vancouver",1,97,387,72,744,1,4,1306,
59021,"North Vancouver/North Vancouver"," 606","North Vancouver",1,93,315,77,650,1,8,1145,
59021,"North Vancouver/North Vancouver"," 607","North Vancouver",1,76,232,104,603,0,0,1016,
59021,"North Vancouver/North Vancouver"," 608","North Vancouver",2,88,261,101,632,0,7,1091,
59021,"North Vancouver/North Vancouver"," 609","North Vancouver",4,95,293,136,642,3,6,1179,
59021,"North Vancouver/North Vancouver"," 610","North Vancouver",2,55,224,77,562,1,2,923,
59021,"North Vancouver/North Vancouver"," 611","North Vancouver",4,119,257,114,636,2,2,1134,
59021,"North Vancouver/North Vancouver"," 612","North Vancouver",0,77,189,51,527,1,2,847,
59021,"North Vancouver/North Vancouver",,"Group 1/Groupe 1",1,7,21,20,92,3,4,148,162
59021,"North Vancouver/North Vancouver",,"Group 2/Groupe 2",11,290,998,320,1705,5,33,3362,
