Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,James Bezan,Deborah Chief,Donald L. Grant,Wayne James,Joanne Levy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 124","Selkirk",57,45,1,12,58,2,175,350
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 125","Selkirk",72,28,1,10,95,2,208,386
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 126","Selkirk",91,34,6,12,87,1,231,409
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 126-1","Selkirk",56,12,1,2,28,3,102,162
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 127","Selkirk",65,42,6,4,86,2,205,364
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 128","Selkirk",70,26,0,4,61,0,161,311
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 129","Selkirk",72,35,1,1,55,2,166,299
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 130","Selkirk",64,39,0,5,75,1,184,368
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 131","Selkirk",102,29,1,7,85,0,224,417
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 132","Selkirk",67,40,5,8,54,1,175,327
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 133","Selkirk",70,34,3,9,71,2,189,320
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 134","Selkirk",88,33,8,8,79,1,217,363
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 135","Walkleyburg",80,32,5,8,73,2,200,382
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 136A","East Selkirk",61,17,4,9,58,1,150,270
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 136B","East Selkirk",78,23,3,9,59,1,173,257
