Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Blaikie,Kim Parke,Andrea Richardson-Lipon,Lawrence Toet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46005,"Elmwood--Transcona/Elmwood--Transcona"," 603","Winnipeg",211,8,111,194,1,525,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 604","Winnipeg",229,9,134,241,1,614,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 605","Winnipeg",271,21,207,361,6,866,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 606","Winnipeg",366,19,227,518,4,1134,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 607","Winnipeg",302,11,160,261,1,735,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 608","Winnipeg",248,4,136,318,1,707,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 609","Winnipeg",286,21,162,276,2,747,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 610","Winnipeg",240,10,176,354,2,782,
46005,"Elmwood--Transcona/Elmwood--Transcona",,"Group 1/Groupe 1",25,2,107,40,3,177,145
46005,"Elmwood--Transcona/Elmwood--Transcona",,"Group 2/Groupe 2",382,21,163,380,15,961,
