date,Party,sd
2017-03-26,Liberal,1.682424610747224
2017-03-27,Liberal,1.7087103086492437
2017-03-28,Liberal,1.6877478027545418
2017-03-29,Liberal,1.5942631244740233
2017-03-30,Liberal,1.5371747644017988
2017-03-31,Liberal,1.5430272041096027
2017-04-01,Liberal,1.5279366996304542
2017-04-02,Liberal,1.5112106344886649
2017-04-03,Liberal,1.5653221760975295
2017-04-04,Liberal,1.5821739940177568
2017-04-05,Liberal,1.5041042730190433
2017-04-06,Liberal,1.450366529890713
2017-04-07,Liberal,1.3973782884963963
2017-04-08,Liberal,1.4061324092180083
2017-04-09,Liberal,1.4119782767287756
2017-04-10,Liberal,1.504387618890369
2017-04-11,Liberal,1.5667111277133057
2017-04-12,Liberal,1.6448050468554114
2017-04-13,Liberal,1.660109097048835
2017-04-14,Liberal,1.6737287552018667
2017-04-15,Liberal,1.6882185792677689
2017-04-16,Liberal,1.703387488041745
2017-04-17,Liberal,1.7063090363226632
2017-04-18,Liberal,1.706050620933696
2017-04-19,Liberal,1.6273121198739688
2017-04-20,Liberal,1.5921588139199114
2017-04-21,Liberal,1.7424473931934865
2017-04-22,Liberal,1.799902787470376
2017-04-23,Liberal,1.8489089301399346
2017-04-24,Liberal,1.9827133901721723
2017-04-25,Liberal,2.0723927685263313
2017-04-26,Liberal,1.923815035044792
2017-04-27,Liberal,1.8936642391284526
2017-04-28,Liberal,1.8745592351981188
2017-04-29,Liberal,1.8523010641736064
2017-04-30,Liberal,1.8326791835329506
2017-05-01,Liberal,1.8759932589046369
2017-05-02,Liberal,1.8868439589218737
2017-05-03,Liberal,1.8030453378625442
2017-05-04,Liberal,1.766355029429165
2017-05-05,Liberal,1.735275203402296
2017-05-06,Liberal,1.6988844806942105
2017-05-07,Liberal,1.6646700391641134
2017-05-08,Liberal,1.6928119096918919
2017-05-09,Liberal,1.704507218503433
2017-05-10,Liberal,1.6920468921853484
2017-05-11,Liberal,1.6925273634539848
2017-05-12,Liberal,1.690822715654921
2017-05-13,Liberal,1.8470951566531806
2017-05-14,Liberal,1.9389162095835104
2017-05-15,Liberal,2.046669085413574
2017-05-16,Liberal,2.135633199681311
2017-05-17,Liberal,2.1924898039404277
2017-05-18,Liberal,2.143314499479188
2017-05-19,Liberal,2.1279247851936027
2017-05-20,Liberal,2.1063946429417806
2017-05-21,Liberal,2.087091097903169
2017-05-22,Liberal,2.103079221727291
2017-05-23,Liberal,2.09749552381707
2017-05-24,Liberal,2.2707208449092753
2017-05-25,Liberal,2.3749732741459972
2017-05-26,Liberal,2.4957105191624573
2017-05-27,Liberal,2.523089124354417
2017-05-28,Liberal,2.594177556561767
2017-05-29,Liberal,2.496468767467475
2017-05-30,Liberal,2.4769171971540613
2017-05-31,Liberal,2.4786592326913146
2017-06-01,Liberal,2.572510108399591
2017-06-02,Liberal,2.6206098146647863
2017-06-03,Liberal,2.656636021343666
2017-06-04,Liberal,2.690909366483904
2017-06-05,Liberal,2.6722171551670337
2017-06-06,Liberal,2.6649038133931002
2017-06-07,Liberal,2.6110161941234713
2017-06-08,Liberal,2.5275342618484107
2017-06-09,Liberal,2.387130700410874
2017-06-10,Liberal,2.3221549281810843
2017-06-11,Liberal,2.3154896164994145
2017-06-12,Liberal,2.3309352270081183
2017-06-13,Liberal,2.378760271521106
2017-06-14,Liberal,2.4032751273605895
2017-06-15,Liberal,2.415926111327686
2017-06-16,Liberal,2.3634363200453916
2017-06-17,Liberal,2.341837409015631
2017-06-18,Liberal,2.322170726961582
2017-06-19,Liberal,2.3901362810862583
2017-06-20,Liberal,2.412519470425341
2017-06-21,Liberal,2.321604091842187
2017-06-22,Liberal,2.2835784369232894
2017-06-23,Liberal,2.2502201024624773
2017-06-24,Liberal,2.2156135729214808
2017-06-25,Liberal,2.1822784636136454
2017-06-26,Liberal,2.254355170096411
2017-06-27,Liberal,2.2720111949524586
2017-06-28,Liberal,2.215993483332892
2017-06-29,Liberal,2.1973039783652117
2017-06-30,Liberal,2.1808474738748775
2017-07-01,Liberal,2.1697070444407816
2017-07-02,Liberal,2.1589775406569216
2017-07-03,Liberal,2.215573900126351
2017-07-04,Liberal,2.2323199664723
2017-07-05,Liberal,2.1451335486753793
2017-07-06,Liberal,2.109115513818556
2017-07-07,Liberal,1.9856409070997736
2017-07-08,Liberal,1.8982754231205299
2017-07-09,Liberal,1.8168717944847537
2017-07-10,Liberal,1.8146995369494754
2017-07-11,Liberal,1.7636093465051499
2017-07-12,Liberal,1.829431653191007
